Circuit Sizes,GidNET Average Runtime,GidNET Stdev Runtime,GidNET Width
6,"[0.014890120562922675, 0.014464256158555925, 0.015368412381462153, 0.018656803884992506, 0.01496510912714127, 0.014964553309962087, 0.017587105844286268, 0.015290122364281811, 0.014697687250029828, 0.01461894521144651, 0.013773320760062364, 0.013721297178500598, 0.012571523799935157, 0.013367048431495538, 0.012680074729973317, 0.013765800828571498, 0.013509956744383088, 0.013463580527168232, 0.01292819435288298, 0.013586490989920484]","[0.0003526053211777585, 0.0008968485075326026, 0.001122803821242754, 0.0028120762151198986, 0.0017067116316845147, 0.0015563475500888714, 0.0027098872399860547, 0.001220661520053539, 0.0009207637803648852, 0.0008818395288701825, 0.0006252243126140427, 0.0004982755008931408, 0.0009483206015974732, 0.0008877669076801177, 0.0006139088807759208, 0.0009436088170583411, 0.00048118593122672553, 0.0006133775309638138, 0.0004491872855597649, 0.0007394356879723466]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 4, 4, 4, 4, 4, 4]"
10,"[0.02889140180029374, 0.028117426200021455, 0.03177713030059489, 0.03134897149949601, 0.027065058242962032, 0.028412169543610484, 0.03178204312862363, 0.03199408849925801, 0.03046007452815372, 0.02983442197104783, 0.03585368905665486, 0.03001995141509854, 0.03145463697105048, 0.02772420530007886, 0.027978364214400895, 0.03173773047165014, 0.03010636854284842, 0.031424021942491116, 0.027515347956796176, 0.028079385442625997]","[0.00294202656700134, 0.0010810965484189924, 0.0008618850260972919, 0.0013651268988618796, 0.00032224579265757497, 0.0014167001658972967, 0.000762084899311982, 0.0015225851644526044, 0.001323407452719063, 0.0010922527376497166, 0.0021203061047645887, 0.0009613192580594824, 0.0016204269923773683, 0.0023011492057182096, 0.0014411858610603, 0.0011404193957226362, 0.0010781065855258241, 0.004596105308740108, 0.0009794280486423092, 0.0019685724570426533]","[6, 5, 5, 5, 6, 6, 4, 4, 5, 6, 4, 5, 5, 6, 6, 5, 5, 5, 6, 6]"
14,"[0.05196550404278761, 0.045387805828275826, 0.05748496157216972, 0.049404743157044455, 0.05571010631351133, 0.04797479254276758, 0.049983026257333606, 0.0493923039000947, 0.04927452618638718, 0.0535520741853231, 0.050933987714233804, 0.04569220467154601, 0.05265717725726842, 0.04883428445651329, 0.05466511991398875, 0.0522083718570814, 0.05259734498603003, 0.048738287028806684, 0.0463332861715961, 0.051229912085857775]","[0.0012593996225871724, 0.0015032025613288531, 0.0027272223733898512, 0.0015329482634975301, 0.003113836255515029, 0.001275233733828148, 0.001529618129793138, 0.0029412547354829553, 0.002812525762723579, 0.0053130800634729825, 0.0013595990188461288, 0.0014210780542858164, 0.0025672692769884834, 0.0020965460697322377, 0.0016334747697279242, 0.0012357627611698562, 0.0035163821250529005, 0.003893067276046806, 0.0029818619631829203, 0.0015233566829660626]","[7, 7, 5, 5, 5, 7, 7, 7, 7, 6, 6, 6, 6, 7, 6, 5, 5, 7, 7, 7]"
18,"[0.09248231790011882, 0.08388549618580977, 0.09474536942891842, 0.10465569275755635, 0.09891556419897825, 0.1020819539283236, 0.09744544038590643, 0.09785940907188759, 0.09276575424300972, 0.10058929285691452, 0.08734780329978094, 0.10834819720018588, 0.09444234614202286, 0.09954073368571699, 0.09936484344237084, 0.0889443075001639, 0.08360228405716563, 0.09709415620101416, 0.08418010390055965, 0.10017105738557543]","[0.0011939925548254719, 0.00291288710273466, 0.0030318637345271397, 0.004147311601516786, 0.004729374236739418, 0.0023600637675138293, 0.00729122079854324, 0.002383115850388496, 0.0023856028847694445, 0.0020898647942093488, 0.0014866296487407577, 0.006255342660184936, 0.006626465927605626, 0.004407997144037552, 0.0027974983806294007, 0.0032684829878926627, 0.003468847935298615, 0.005187828981084421, 0.0018076445196700433, 0.003268059257302448]","[8, 10, 8, 7, 8, 7, 7, 6, 8, 8, 7, 6, 7, 7, 8, 9, 9, 8, 8, 7]"
22,"[0.150683048229465, 0.1550364618430779, 0.14557557808542956, 0.14632721992924674, 0.1473230554568415, 0.1449930275578351, 0.15866897891391998, 0.13578282704277497, 0.14425756058481057, 0.15285193484326426, 0.14430251408484765, 0.16410581095759488, 0.15211062062797803, 0.14567499078569068, 0.14411304304334666, 0.15216778501385958, 0.15658869704306458, 0.13927367584297567, 0.14556917748621864, 0.14745435078511945]","[0.0067655875664501194, 0.0042683584460412125, 0.006416579280265097, 0.010598312164924621, 0.0057320801509828205, 0.0023132076605987886, 0.0030979576419167304, 0.0020044788372472087, 0.006483482494170086, 0.005180869899547029, 0.005844940408090252, 0.009057179841750817, 0.00393415846211106, 0.002754399570968029, 0.004298462977126889, 0.008770508314460003, 0.0051043636315012695, 0.0054161220180785445, 0.00924151575450408, 0.013086767388343277]","[8, 8, 8, 9, 9, 9, 7, 9, 10, 9, 8, 9, 8, 9, 8, 8, 8, 10, 10, 9]"
26,"[0.24192694086481684, 0.21292617428948038, 0.2157453024285912, 0.22916578427871823, 0.2199121952830215, 0.23803774242488934, 0.23343119671335444, 0.22239528457534366, 0.21602780600993096, 0.23745745286162542, 0.24615397500123695, 0.22625777671679057, 0.22041607071462618, 0.215522744572289, 0.22207909628299863, 0.2080383742785281, 0.21981394742864982, 0.21728792113883952, 0.22609206713968888, 0.2272529700005959]","[0.012560084850058892, 0.0051619785045297845, 0.008314016010158267, 0.007655571814526385, 0.012497806629140632, 0.008100612043968955, 0.008358478544429582, 0.005531773970196528, 0.007320285213791572, 0.006039801908899876, 0.008728156084125891, 0.005332652434354079, 0.008306101286104834, 0.008164483298000466, 0.004751886309908346, 0.006381104424907031, 0.008644202569054021, 0.010837333000050147, 0.01585324603973335, 0.011258145087927609]","[9, 11, 11, 9, 11, 8, 10, 9, 11, 7, 8, 9, 10, 9, 9, 9, 9, 9, 9, 8]"
30,"[0.3060356717116, 0.2987947035705604, 0.31793563871594543, 0.29851147142887513, 0.34541291028394233, 0.2934489805692075, 0.3448887164247156, 0.32877071529427276, 0.33998963742383886, 0.34287660843360107, 0.29340622600284405, 0.2793068647151813, 0.3129284559940321, 0.3434831507163056, 0.2934807595780252, 0.29793593500341686, 0.31135452371173805, 0.30372309899290223, 0.3202882687120499, 0.34953849870778086]","[0.01165375764227311, 0.012296122495722163, 0.05284200395855741, 0.010091882031601399, 0.013888685500987418, 0.008227536298839981, 0.020814248367642393, 0.012158316205677977, 0.008809695929253758, 0.014577885179913864, 0.022811628758568937, 0.012809189629529883, 0.0030554345994630466, 0.020207744794047435, 0.012063286557999365, 0.01638320037349334, 0.013509723233705993, 0.018597724720829722, 0.013872560407342877, 0.03617959442121585]","[11, 10, 11, 9, 9, 11, 10, 10, 9, 11, 13, 12, 10, 9, 12, 10, 11, 10, 10, 12]"
34,"[0.5456505661464429, 0.5067905920025494, 0.5367381504246234, 0.5142504479985551, 0.5233925137103402, 0.5424005144242463, 0.5286468907142989, 0.5552669015721351, 0.532315046281188, 0.5273767901401568, 0.4996773471440455, 0.5454017938588679, 0.5736975641380663, 0.5259452145796136, 0.5357477082829324, 0.49848323614319917, 0.544101986140179, 0.5231707605666348, 0.5609440371419103, 0.5251239395667133]","[0.016752439749881207, 0.01880919655640405, 0.026253002953382967, 0.0383155326667855, 0.02105804778521873, 0.015401389644268522, 0.027555784329568758, 0.0155760430554576, 0.017477972992261365, 0.023505365555603387, 0.020423571655361787, 0.014588383888515263, 0.03431789350597742, 0.022832208034160435, 0.020414372024990236, 0.014291544155965534, 0.02280557654708432, 0.008820995961302147, 0.02204598137757405, 0.01617972652798829]","[11, 10, 11, 11, 12, 12, 12, 10, 10, 11, 12, 12, 12, 10, 9, 11, 11, 11, 10, 12]"
38,"[0.7488438908642691, 0.729932662432215, 0.7351637762829861, 0.7364434342806427, 0.7316044567144543, 0.7065102557119515, 0.7032296720010761, 0.6956659247225616, 0.7314659622872048, 0.7226027362880164, 0.7257500390031575, 0.7750998511453092, 0.7141571994247248, 0.6892388391424902, 0.7092255992839844, 0.7205412257130125, 0.6969392029901168, 0.6995296525669151, 0.6804157972926207, 0.7476413947130952]","[0.02179074275569686, 0.01576171729289702, 0.020605305062190132, 0.028953153994250108, 0.022350047274480936, 0.015439429186459398, 0.012275750244609893, 0.028786313832365327, 0.029339677088193006, 0.013727768656779304, 0.02513149714619058, 0.017489441737661603, 0.03190050417920711, 0.02312455456277591, 0.022664146999097374, 0.014463634907260067, 0.027723295264904992, 0.014368765559767446, 0.022088453983417643, 0.01728607481417702]","[10, 11, 12, 13, 12, 12, 12, 13, 12, 11, 13, 11, 12, 13, 12, 13, 11, 12, 12, 11]"
42,"[0.9862820071409389, 0.9691457137149493, 0.8811575178614086, 0.900621989425937, 0.9243423188537625, 0.9194138011495981, 0.9981317485674351, 0.9467902334290557, 0.8947721521461582, 0.93732884471787, 0.9490947481327956, 0.9624749392844804, 0.9735354548528059, 0.9424557115791166, 1.0237320934206113, 1.0607664888583324, 1.0674536059918214, 1.0406362267136242, 0.8831072490096891, 0.961248896001572]","[0.04863418340689699, 0.03807052942697364, 0.030250442129203515, 0.02578722982566605, 0.045798340477667364, 0.039550293106636214, 0.011998919691496043, 0.03483376111618389, 0.039095868239654656, 0.054845019721621834, 0.04278468778607066, 0.022184454249593862, 0.03652136619928372, 0.08077210050385847, 0.09134637526085997, 0.0760059370032459, 0.05279888251574349, 0.0698812306455405, 0.11221882449137055, 0.05005879204915921]","[11, 12, 12, 13, 13, 14, 12, 13, 14, 14, 13, 13, 13, 13, 14, 14, 13, 12, 13, 13]"
