Circuit Sizes,GidNET Average Runtime,GidNET Stdev Runtime,GidNET Width
6,"[0.012166557701379394, 0.012920136651456622, 0.011250008377163405, 0.01177833198852438, 0.011375795980025681, 0.011071921997104906, 0.011640296134282834, 0.011346936094300222, 0.012169051012855822, 0.011245319964322594, 0.01155955519997016, 0.012012072224253123, 0.011659368541482503, 0.010771687737100624, 0.012214753359938707, 0.011865650148538407, 0.011310696630056816, 0.011339965208608192, 0.011690493322925507, 0.01159097173288631]","[0.0010342148395607097, 0.0007291972397867072, 0.0005182302458802132, 0.0004011598668178484, 0.0003011963185977175, 0.0004932167359325584, 0.00043960092945500174, 0.0005341969026238533, 0.0010979872760480088, 0.0003962403165768253, 0.00032400549808353295, 0.0011430391262882528, 0.0011337443277854773, 0.0001795476147733916, 0.0018464393139269555, 0.0006724029219644657, 0.00037560337049732766, 0.00024984822298231853, 0.0004041633190673107, 0.00022784633567184297]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 4, 4, 4, 4, 4, 4]"
10,"[0.023866672057192773, 0.02149031361498471, 0.021883724728416255, 0.022967835013488574, 0.02274560858578687, 0.021930877457322952, 0.022423561014667418, 0.023121996600197498, 0.022102832228327835, 0.021631485414608114, 0.022303369357333784, 0.023132058228449232, 0.023286830099615536, 0.020946919971278736, 0.02249357801462923, 0.022941267800134873, 0.021406991556952044, 0.021873536857310683, 0.02146417167095933, 0.020780856314896873]","[0.0015434245337002663, 0.0006282411007553109, 0.0013094747524276108, 0.0012698635766075898, 0.0017799676801786215, 0.0017244368536244968, 0.0006728906214901785, 0.0030291952920421146, 0.0008741376663710593, 0.0007832934353282197, 0.00020424678807519426, 0.0018361976224731003, 0.0015236280050831994, 0.00046242364689446004, 0.002415307503667091, 0.0019155884083737894, 0.0005974107212459716, 0.001006721704988345, 0.0006607568061450975, 0.00038009046823076663]","[6, 5, 5, 5, 6, 6, 5, 4, 5, 6, 4, 5, 5, 6, 6, 5, 5, 5, 6, 6]"
14,"[0.039104924800007476, 0.0363590129131418, 0.04150030345772393, 0.038781555600248145, 0.04311221539932636, 0.037820242214781634, 0.03869840149917374, 0.035757068000384605, 0.0370845807292166, 0.04018252827102385, 0.03925615252852107, 0.03750523274315388, 0.03810496635685142, 0.038043492257462015, 0.039378403170849195, 0.040311831228401776, 0.039091577385469076, 0.03922339094237291, 0.03693020015738772, 0.036563059757047864]","[0.0016198968391392718, 0.001477675621595302, 0.003891102386647104, 0.002331040179599641, 0.005899363773763114, 0.0010807525811061714, 0.002681300747608936, 0.0009308776487996938, 0.0008460767371816704, 0.003434557516308861, 0.0018966620540702393, 0.001994477551157645, 0.0008574513956206011, 0.00404228122390792, 0.0006323158989680497, 0.0017284968686550122, 0.0017615585063949252, 0.0021149549680546166, 0.0012061074246424509, 0.0005441433642290118]","[7, 7, 5, 5, 5, 7, 7, 7, 7, 6, 7, 7, 6, 7, 6, 6, 5, 7, 7, 7]"
18,"[0.0620639471998272, 0.05540579368618117, 0.06502370222879109, 0.06745022524347795, 0.06541642827089943, 0.08217140515667519, 0.06819314652821049, 0.06309471797223003, 0.059920698642963545, 0.06476782919988702, 0.06248023872862437, 0.06823569234319231, 0.060750798029559, 0.06515639520034061, 0.06163854505825189, 0.06622125658614095, 0.06123548652852021, 0.0679756645000972, 0.06007070678585608, 0.06837080495731372]","[0.002135431546157631, 0.002248094637879243, 0.0039007818786629513, 0.004461392443058546, 0.001883411919354184, 0.008516776081714429, 0.0029274556688939865, 0.0014589335339671944, 0.0018957686075359228, 0.0034373461153582, 0.003337759210900815, 0.002971190184261343, 0.0020355349958514767, 0.005494611965213665, 0.0028616088023207574, 0.005703869139368348, 0.004473869158164129, 0.005184134405819198, 0.005531912876657982, 0.005235829661601799]","[8, 10, 8, 7, 8, 8, 8, 7, 8, 8, 8, 6, 8, 7, 8, 9, 10, 8, 8, 7]"
22,"[0.10337604114278552, 0.10639269052813428, 0.10337763608549722, 0.10229169491420699, 0.10965812611435208, 0.10486778872811035, 0.1138000517713538, 0.10443572772907958, 0.10019841747125612, 0.10669055935702221, 0.09873033978593802, 0.11505873118543865, 0.10373192175715563, 0.10085947057065954, 0.10405336501384486, 0.10891862444197094, 0.10221750875727074, 0.0988493249568689, 0.10470447908529812, 0.10135406470134123]","[0.006154720710390066, 0.005228961439449171, 0.003529728161208413, 0.003904183705118117, 0.009536921004558352, 0.0032084718260241597, 0.0057233257365785295, 0.004433214514148046, 0.0034954379572996173, 0.004856345391302581, 0.005498653274590637, 0.0036775982197305287, 0.0020826811936251947, 0.003809526363867862, 0.004295993266928051, 0.007768541743219934, 0.0027990450715971744, 0.00841290438276661, 0.00572417579326673, 0.003168921416485279]","[9, 8, 8, 9, 8, 9, 7, 9, 10, 8, 8, 9, 8, 10, 8, 8, 9, 10, 10, 9]"
26,"[0.1728900470995411, 0.16052145884314087, 0.17125857958536864, 0.181032326314432, 0.16966198584206202, 0.2089612576145945, 0.17622076087115732, 0.17203228204245016, 0.15930510944246115, 0.17691055997066932, 0.19580017597140145, 0.18567428968630598, 0.18788852248606938, 0.17366835171456582, 0.17736296462784854, 0.1582040712141731, 0.15904506848518005, 0.16918268120082627, 0.1620549902432166, 0.17019473488617223]","[0.011005678679515156, 0.005064630367031119, 0.010703249199106805, 0.0114599381523574, 0.009668131606780305, 0.02017181240500212, 0.008770622762377613, 0.008853965918444303, 0.004129368839919426, 0.0027811046245311156, 0.015248211754341103, 0.011045040935670858, 0.018076547964028418, 0.00923630588612346, 0.004876929269955272, 0.003462477698653615, 0.0026503914289861224, 0.008595806077630724, 0.00429512126052515, 0.005816491461489295]","[9, 11, 11, 9, 11, 8, 9, 10, 11, 7, 8, 9, 10, 9, 9, 9, 9, 9, 9, 9]"
30,"[0.26139220914670397, 0.24676861400283606, 0.30538780885815087, 0.24496323470624962, 0.2827805299977107, 0.26414834171633367, 0.26746228214220275, 0.27672175871391247, 0.29475380357637604, 0.28758718185625703, 0.268711164427389, 0.23632005142696602, 0.26297042985762736, 0.2914054050010496, 0.2618040224229584, 0.26766732143005356, 0.28568872699231307, 0.2940149405788231, 0.27018771713898915, 0.26249968457601164]","[0.016677974522909072, 0.01499022669196343, 0.03666151272019908, 0.009003263463963497, 0.005523038788026577, 0.022555489608448012, 0.007885262186928038, 0.023889868424383967, 0.03448144725173771, 0.04827836829041897, 0.030860713155440866, 0.009363539047411149, 0.019124380218713165, 0.024461178949167262, 0.018024333165643922, 0.028781301870760653, 0.04202895212409383, 0.030527475908701293, 0.02269084449546888, 0.026798116829711387]","[12, 11, 11, 9, 9, 12, 11, 10, 9, 11, 13, 12, 10, 10, 11, 11, 11, 10, 10, 12]"
34,"[0.4316063532855229, 0.40746980170869, 0.4063761832824509, 0.3836848985769653, 0.4923818075788274, 0.41921974757652997, 0.39077577470951447, 0.41559622999297324, 0.4289356764264604, 0.3948141944336904, 0.3906596971459554, 0.4287268504309135, 0.38466256971254814, 0.41534003443250966, 0.3916311011375261, 0.3742677397177821, 0.42040670686401427, 0.46162142971297726, 0.4299089188571088, 0.38786122828605585]","[0.03605391652679289, 0.04094649094705672, 0.02415591783913823, 0.019385664105688448, 0.05516680390473121, 0.014446776831661418, 0.02231194914084742, 0.014071302421092478, 0.014654961882300128, 0.018853442206897497, 0.007867759145504215, 0.04204609586945867, 0.005951043879879748, 0.01671418474098523, 0.03685635668285595, 0.009040922404271276, 0.040255069274511474, 0.06283763842314626, 0.013295581993689264, 0.01324108546972017]","[11, 11, 11, 11, 12, 11, 13, 10, 11, 11, 12, 12, 13, 10, 10, 11, 11, 12, 10, 12]"
38,"[0.589728558290517, 0.6107084522871966, 0.6219311548588199, 0.5795433842868079, 0.60149784085557, 0.5787327202851884, 0.5757483589986805, 0.5707848285715694, 0.6398731574258169, 0.6220795317079008, 0.6139987642860173, 0.6303867112853497, 0.6257887198548165, 0.5897182591392526, 0.5884613522835674, 0.6249115327123685, 0.57957009614412, 0.6050433645764964, 0.593918419709163, 0.6491501664318743]","[0.020509461353175277, 0.02425564133708192, 0.014741701795559078, 0.02256302950677635, 0.04330834965320743, 0.012764694084829735, 0.012402181139647207, 0.019538929416788278, 0.03977866944986448, 0.027902923349964442, 0.009163975228194806, 0.030344579487586627, 0.038382521759621376, 0.05830036005017721, 0.034826542070110204, 0.0187053092180631, 0.016801105109371516, 0.02403979181203776, 0.02616932566030985, 0.055391099224250354]","[12, 11, 12, 13, 12, 13, 12, 13, 11, 11, 13, 11, 13, 13, 12, 13, 11, 11, 12, 11]"
42,"[0.9297994419965627, 0.9360718472869068, 0.9127420412883761, 0.8834565961483999, 0.8655821145678472, 0.8287321857101883, 0.9349202148607999, 0.8901829035769749, 0.8373005654346863, 0.8680499622839436, 0.8882892985670229, 0.8495348569995258, 0.8168884188593698, 0.9143097377132757, 0.8913059604279364, 0.9265742778578507, 0.9339896901469079, 0.8783779850013421, 0.9022545744290775, 0.9253116122895985]","[0.028316893402795622, 0.016533297695038553, 0.04260788168225288, 0.03657736483709157, 0.06309681578571913, 0.027831926884172666, 0.04320134881974361, 0.03747964559508624, 0.03228772072639844, 0.04741567386557254, 0.02677131415577981, 0.021657113014413053, 0.030996619420290784, 0.05494400236486877, 0.047466084154569335, 0.022487277116813566, 0.03555129390059935, 0.02299471229595266, 0.023833793751352868, 0.06309375713783558]","[12, 11, 13, 14, 13, 14, 12, 13, 14, 14, 13, 13, 13, 13, 15, 13, 14, 13, 13, 13]"
