Circuit Sizes,GidNET Average Runtime,GidNET Stdev Runtime,GidNET Average Width,GidNET Stdev Width,GidNET Min Width,GidNET Max Width,QNET Average Runtime,QNET Stdev Runtime,QNET Average Width,QNET Stdev Width,QNET Min Width,QNET Max Width,Qiskit Average Runtime,Qiskit Stdev Runtime,Qiskit Average Width,Qiskit Stdev Width,Qiskit Min Width,Qiskit Max Width
6,0.01164897850035881,0.000625094036116016,4.1,0.30000000000000004,4,5,0.0019321408611928583,0.0005023692969868916,4.1,0.30000000000000004,4,5,0.1056706699264297,0.006716682469187123,4.4,0.4898979485566356,4,5
10,0.022239724329327665,0.0012308648593851242,5.3,0.6403124237432849,4,6,0.0036143898354999517,0.00021596364180047185,5.25,0.698212002188447,4,6,0.7453258230642812,0.03426678485011191,5.75,0.9420721840708386,4,7
14,0.03864045697062725,0.002048554664372512,6.4,0.8,5,7,0.01481022782250023,0.0004361849933356589,6.25,0.7664854858377946,5,7,3.20161423258714,0.08509640360286125,7.6,1.0677078252031311,6,9
18,0.06478217414235199,0.0037847856416370904,7.95,0.9205976319760986,6,10,0.04221726634571513,0.00155310059930534,7.6,0.9695359714832658,6,10,4.0418823279071425,0.0645836700781722,9.6,1.1135528725660044,7,11
22,0.10467832820487925,0.004865467558607752,8.7,0.8426149773176358,7,10,0.10286142460785741,0.0026792166656981788,8.6,0.8,7,10,9.408592121650006,0.12469036996217461,11.5,1.5329709716755893,8,14
26,0.17439351090708183,0.008795591314623468,9.3,1.0535653752852738,7,11,0.2266701149064298,0.005603807441575784,9.45,1.023474474522936,8,11,13.601602591064335,0.17949039540598316,13.0,1.51657508881031,10,16
30,0.27166176142844567,0.023630364385704542,10.75,1.0897247358851685,9,13,0.41272191273785797,0.010108324557261199,10.35,1.0136567466356645,9,12,78.28121990804283,2.477478366983043,14.85,1.4585952145814822,11,17
34,0.41279734719345085,0.025407648184511432,11.25,0.8874119674649424,10,13,0.7564744952828566,0.012098297995714343,11.15,1.107925990308017,9,13,48.62590011794298,0.7275973183584368,17.15,2.219797288042311,13,21
38,0.6045787686995548,0.027494509535330846,12.0,0.8366600265340756,11,13,1.2676485381192872,0.018261653532548102,11.8,1.1224972160321822,10,14,34.878367685299885,0.45018833346284515,18.65,1.878163997099295,16,23
42,0.8906837142723294,0.036257226830317346,13.15,0.852936105461599,11,15,2.028187837736427,0.03682380335826446,12.85,1.061838029079765,11,15,83.62838352853521,2.0836491714821537,20.35,1.9563997546513854,17,25
46,1.3150870953925602,0.07279594771118578,14.1,0.9433981132056606,13,17,3.27795169636643,0.07761736398625604,13.6,1.0677078252031311,12,15,49.78180554408599,0.3975717594582978,21.85,1.930673457630782,18,25
50,1.8727500422791177,0.08579741364625446,14.7,1.2688577540449522,12,17,5.059978845730724,0.13151791042570787,14.6,1.4628738838327793,13,18,111.31403228764343,1.4377653912716741,23.95,1.9615045245933032,20,27
