Circuit Sizes,GidNET Average Runtime,GidNET Stdev Runtime,GidNET Average Width,GidNET Stdev Width,GidNET Min Width,GidNET Max Width,QNET Average Runtime,QNET Stdev Runtime,QNET Average Width,QNET Stdev Width,QNET Min Width,QNET Max Width,Qiskit Average Runtime,Qiskit Stdev Runtime,Qiskit Average Width,Qiskit Stdev Width,Qiskit Min Width,Qiskit Max Width
6,0.014443520221898718,0.0010490418286231372,4.1,0.30000000000000004,4,5,0.019321408611928582,0.005023692969868916,4.1,0.30000000000000004,4,5,0.1056706699264297,0.006716682469187123,4.4,0.4898979485566356,4,5
10,0.030078824351387867,0.001544821523536061,5.25,0.698212002188447,4,6,0.03614389835499952,0.0021596364180047184,5.25,0.698212002188447,4,6,0.7453258230642812,0.03426678485011191,5.75,0.9420721840708386,4,7
14,0.050700991006430864,0.0023118359749809184,6.25,0.82915619758885,5,7,0.1481022782250023,0.004361849933356589,6.25,0.7664854858377946,5,7,3.20161423258714,0.08509640360286125,7.6,1.0677078252031311,6,9
18,0.09542310618859898,0.003555004738410715,7.65,0.963068014212911,6,10,0.4221726634571513,0.015531005993053399,7.6,0.9695359714832658,6,10,4.0418823279071425,0.0645836700781722,9.6,1.1135528725660044,7,11
22,0.14864301790786807,0.006018466625453896,8.65,0.7921489758877431,7,10,1.028614246078574,0.026792166656981788,8.6,0.8,7,10,9.408592121650006,0.12469036996217461,11.5,1.5329709716755893,8,14
26,0.2247970411502008,0.008489886001193313,9.25,1.0897247358851685,7,11,2.266701149064298,0.056038074415757845,9.45,1.023474474522936,8,11,13.601602591064335,0.17949039540598316,13.0,1.51657508881031,10,16
30,0.31610554179954176,0.01674251105533329,10.5,1.118033988749895,9,13,4.12721912737858,0.10108324557261199,10.35,1.0136567466356645,9,12,78.28121990804283,2.477478366983043,14.85,1.4585952145814822,11,17
34,0.5322561000488348,0.020871251448387577,11.0,0.8944271909999159,9,12,7.564744952828566,0.12098297995714344,11.15,1.107925990308017,9,13,48.62590011794298,0.7275973183584368,17.15,2.219797288042311,13,21
38,0.7200000786430403,0.021263513727119085,11.9,0.8306623862918074,10,13,12.676485381192872,0.18261653532548103,11.8,1.1224972160321822,10,14,34.878367685299885,0.45018833346284515,18.65,1.878163997099295,16,23
42,0.9611245870425982,0.050171861892336335,12.95,0.804673846971554,11,14,20.28187837736427,0.3682380335826446,12.85,1.061838029079765,11,15,83.62838352853521,2.0836491714821537,20.35,1.9563997546513854,17,25
46,1.1274184075498073,0.10853399298394217,13.9,0.99498743710662,12,16,32.7795169636643,0.7761736398625605,13.6,1.0677078252031311,12,15,49.78180554408599,0.3975717594582978,21.85,1.930673457630782,18,25
50,1.4657931413582577,0.1329872073895712,14.55,1.243985530462473,12,17,50.59978845730724,1.3151791042570786,14.6,1.4628738838327793,13,18,111.31403228764343,1.4377653912716741,23.95,1.9615045245933032,20,27
