Circuit Sizes,GidNET Average Runtime,GidNET Stdev Runtime,GidNET Width,QNET Average Runtime,QNET Stdev Runtime,QNET Width,Qiskit Average Runtime,Qiskit Stdev Runtime,Qiskit Width
16,0.0541182320851865,0.0016622143678844,8,0.232041812318909,0.0206455904825504,8,0.0344030109429565,0.00069912362382,11
20,0.0878876495424525,0.0014335735498972,9,0.644203399424441,0.0325105863544941,9,0.0470880984149906,0.0015148707549638,14
25,0.1634952763710836,0.0054999584337864,10,1.91357036668342,0.0340463960678529,9,0.063693421771833,0.0025168256459105,16
30,0.2619593490048179,0.0077787576090297,11,4.44256883588553,0.116288914112935,12,0.0782111533576556,0.0016868991979136,21
36,0.5026735462805456,0.0143053685812588,12,10.3442208005747,0.343987727014561,11,0.1026923369711897,0.0068339953653191,22
42,0.8801570200012065,0.0423549531477227,12,24.0051559528469,1.05698536391164,13,0.1230557834995644,0.0041648435686345,27
49,1.3587811004295614,0.0720595117605902,14,43.0607131048205,1.04746407652384,14,0.155347606156803,0.0082125537395191,33
56,1.9283199664288464,0.1112550412741667,15,74.5704165705746,3.27211991080373,19,0.1821076489714739,0.0033013677101768,40
64,3.486159776142033,0.0554502303653196,18,146.020070336726,1.9855278441897,19,0.2185325384322953,0.0076624612251315,45
72,5.015760042708799,0.2680741829083549,18,270.305784115285,4.20290409550918,20,0.2664962967142595,0.0157800545243435,51
81,7.057501318714848,0.1682001131984764,18,477.491955507996,8.84035227482315,20,0.3251106695679482,0.0215121412141565,56
90,10.292317321578071,0.1803245098220933,20,753.273386341453,10.3737820638047,23,0.3608743730001151,0.0108959421442514,57
100,14.511020314572049,0.2111546351701633,22,1268.25871725555,10.9157193180146,25,0.4167308139980638,0.010996712492758,66
110,22.369284744848432,1.7378681907774258,23,2045.40384203688,68.6444238704926,23,0.4847431861437923,0.0184744388190923,76
121,27.82551591557317,0.5130726476764703,26,3250.86347069501,121.333828845993,24,0.5599645431419569,0.0117964205292492,83
132,39.29545927257277,0.5741694948402724,26,4726.53186483856,192.844638170767,28,0.6490974788653797,0.0205480771088222,93
144,52.43813462542936,1.0704599636736811,28,7662.45137651584,211.900421869858,29,0.7559322454243167,0.0249485657024648,102
