Circuit Sizes,GidNET Average Runtime,GidNET Stdev Runtime,GidNET Width,QNET Average Runtime,QNET Stdev Runtime,QNET Width,Qiskit Average Runtime,Qiskit Stdev Runtime,Qiskit Width
16,0.0422596993999052,0.0011950721770564,10,0.138017771242968,0.0040746946356576,10,0.1068521400999348,0.006754182081352,10
20,0.0678599357572238,0.0025830601016922,12,0.3681312169995051,0.0150913179110376,12,0.15719843085717,0.0088417462113422,13
25,0.1288767786571822,0.014526359294337,12,1.2412651112863389,0.052050646837556,14,0.2199258908285368,0.0067627423779512,16
30,0.1949900784285481,0.015954319007066,16,3.096599329142399,0.0642408401956289,16,0.2958209732849874,0.0304769363882359,19
36,0.3019221072863729,0.0470172767029756,19,7.575176043999818,0.3261778905284532,19,0.4050442799993367,0.0191565393373942,26
42,0.4658288351415,0.0123587658520824,20,17.803011736571143,0.7369019429762441,20,0.5700796357138772,0.02028978345457,28
49,0.7643192831429977,0.0168602991968395,24,36.67722109085766,1.217542210789094,24,0.7427028401429457,0.0377796058545847,39
56,1.349547566714526,0.0494005745592016,25,78.30247501785821,7.085443352871857,24,0.8897312414285677,0.0371682430745809,42
64,2.1883547965709504,0.0360387991928801,30,126.7262390490006,2.0023728575680777,30,1.1264619211428255,0.0576608017329396,48
72,3.593004001999881,0.051688352351715,29,238.27059510799987,3.017979059147655,29,1.3310606648566523,0.0510002400035917,51
81,5.523713802714026,0.1635589269175008,33,425.8596977572852,10.414185571599443,30,1.647278827572466,0.0346291248046138,61
90,8.399779515142914,0.1764822425772144,33,718.8150598275715,10.31149903017681,32,1.9647939405715855,0.0666530413984339,66
100,13.194117343570854,0.1859855926833752,35,1176.53453620043,23.66324536580412,34,2.3999347592855758,0.1589364157710309,75
110,20.55236792771393,0.3440178596702947,35,1947.5233839195728,31.12150347330537,36,2.769940192856406,0.0485328883945223,79
121,32.945165344858005,1.919334322326368,38,2890.956605064142,53.10802809836886,39,3.2673821080009344,0.1014192157548957,90
132,50.34226111814236,2.1366260929372287,42,4335.270483146286,75.64993385243766,38,3.822136289428662,0.1019473348247479,99
144,75.65816690728649,7.218669959785394,44,6458.748069817711,110.36030392541224,41,4.217988483714829,0.1104612380483666,104
