Circuit Sizes,GidNET Average Runtime,GidNET Stdev Runtime,GidNET Width,QNET Average Runtime,QNET Stdev Runtime,QNET Width,Qiskit Average Runtime,Qiskit Stdev Runtime,Qiskit Width
6,"[0.014890120562922675, 0.014464256158555925, 0.015368412381462153, 0.018656803884992506, 0.01496510912714127, 0.014964553309962087, 0.017587105844286268, 0.015290122364281811, 0.014697687250029828, 0.01461894521144651, 0.013773320760062364, 0.013721297178500598, 0.012571523799935157, 0.013367048431495538, 0.012680074729973317, 0.013765800828571498, 0.013509956744383088, 0.013463580527168232, 0.01292819435288298, 0.013586490989920484]","[0.0003526053211777585, 0.0008968485075326026, 0.001122803821242754, 0.0028120762151198986, 0.0017067116316845147, 0.0015563475500888714, 0.0027098872399860547, 0.001220661520053539, 0.0009207637803648852, 0.0008818395288701825, 0.0006252243126140427, 0.0004982755008931408, 0.0009483206015974732, 0.0008877669076801177, 0.0006139088807759208, 0.0009436088170583411, 0.00048118593122672553, 0.0006133775309638138, 0.0004491872855597649, 0.0007394356879723466]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 4, 4, 4, 4, 4, 4]","[0.018370334618571342, 0.01882407725571446, 0.020193420108571444, 0.01977849254000002, 0.020261643462857006, 0.019122861567142796, 0.020317350999999918, 0.01896044937714302, 0.01992068613428582, 0.02027186913714299, 0.019791319607142473, 0.01981726605428532, 0.019211514742857424, 0.01832000382571453, 0.01947362130714298, 0.01856973006428575, 0.018981620362857256, 0.019269424334285887, 0.018761231118571198, 0.01821125562000004]","[0.004656355834525185, 0.004506558294539112, 0.006378371670956428, 0.005036906386391812, 0.004979752211889283, 0.005252123190902409, 0.005236562093363626, 0.004839217576047837, 0.005082964099558955, 0.005607985823616236, 0.0051567559200894715, 0.005115700310666812, 0.004547724884386698, 0.005342891248322526, 0.004826190002712713, 0.0046174431881080375, 0.004885865814763272, 0.004333212717605966, 0.005469095165850791, 0.004602182963081154]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 4, 4, 4, 4, 4, 4]","[0.05248965485714296, 0.0499476838714291, 0.18371035794285717, 0.05799105957142956, 0.052474014914285556, 0.16800971300000356, 0.11272449001428819, 0.27166011585714905, 0.05213628021428706, 0.0515415011000016, 0.06423921848571582, 0.1650054914428584, 0.08383424418571102, 0.07169371010000013, 0.06297053267142994, 0.15060800164285734, 0.0511431781857157, 0.1116171459142866, 0.18073336405714632, 0.11888364049999933]","[0.003679177474356534, 0.001934952077133793, 0.010278450786415249, 0.012543489344550083, 0.0073554393055061725, 0.002595808923990165, 0.003164740535371633, 0.02971855529192745, 0.001957779917640935, 0.0015007677657881819, 0.004196501755786868, 0.013196362336825624, 0.002283554526200378, 0.0009971931461395763, 0.0038458094314155864, 0.0023929496273139127, 0.002335534616612055, 0.0029707515918262106, 0.022669004707953067, 0.004716826220988996]","[4, 5, 4, 5, 5, 4, 4, 4, 5, 5, 4, 4, 5, 5, 4, 4, 5, 4, 4, 4]"
10,"[0.02889140180029374, 0.028117426200021455, 0.03177713030059489, 0.03134897149949601, 0.027065058242962032, 0.028412169543610484, 0.03178204312862363, 0.03199408849925801, 0.03046007452815372, 0.02983442197104783, 0.03585368905665486, 0.03001995141509854, 0.03145463697105048, 0.02772420530007886, 0.027978364214400895, 0.03173773047165014, 0.03010636854284842, 0.031424021942491116, 0.027515347956796176, 0.028079385442625997]","[0.00294202656700134, 0.0010810965484189924, 0.0008618850260972919, 0.0013651268988618796, 0.00032224579265757497, 0.0014167001658972967, 0.000762084899311982, 0.0015225851644526044, 0.001323407452719063, 0.0010922527376497166, 0.0021203061047645887, 0.0009613192580594824, 0.0016204269923773683, 0.0023011492057182096, 0.0014411858610603, 0.0011404193957226362, 0.0010781065855258241, 0.004596105308740108, 0.0009794280486423092, 0.0019685724570426533]","[6, 5, 5, 5, 6, 6, 4, 4, 5, 6, 4, 5, 5, 6, 6, 5, 5, 5, 6, 6]","[0.041127457185713666, 0.04204544918571368, 0.02950689382856971, 0.039133842128572786, 0.033591443214286955, 0.03167875468571505, 0.040140461228572476, 0.03834094178571214, 0.03528548480000089, 0.033793007314282676, 0.039343123300000116, 0.033977642571427887, 0.0395662363000026, 0.03424801077142904, 0.034103682057143814, 0.0367417603714281, 0.03458230688571088, 0.037167565499997376, 0.036339725571427346, 0.03216417841428308]","[0.002725545394033881, 0.005288478940615063, 0.00153799964185971, 0.0020842250327380183, 0.002070889326075167, 0.0021842790144136915, 0.001998512424878053, 0.002108474793188218, 0.0022350260623790847, 0.0017320441522899216, 0.0018945713181004519, 0.0017162989260649597, 0.002648770768066243, 0.0014642979671520605, 0.0012803983832268444, 0.0022992138719484276, 0.0016143139365366647, 0.0018616718196730298, 0.001790065491755475, 0.002657651095099394]","[6, 5, 5, 5, 6, 6, 4, 4, 5, 6, 4, 5, 5, 6, 6, 5, 5, 5, 6, 6]","[0.10945740907142994, 0.1845668699285706, 1.7320860892857257, 0.7518304065714249, 0.7469556264285627, 0.4667994207142913, 1.1714629910000147, 2.6017514312857037, 1.8272323902857093, 0.3225618724285693, 0.8956152694285525, 0.5418961367142694, 0.7583735859999804, 0.2595031085713962, 0.19813971201428687, 0.6723236968571688, 0.7897722242857006, 0.34017098228571285, 0.3344573731428357, 0.201559864985716]","[0.0031460319869195444, 0.0040284044472246785, 0.0740461051892645, 0.06140294525781891, 0.021882012146144176, 0.01563140223152867, 0.011676614585664767, 0.2648920645527373, 0.02528600142298281, 0.015313444696561486, 0.02563207129707161, 0.027020286281180007, 0.0235418573657525, 0.010794154771636852, 0.0026671318120240982, 0.021583417030858382, 0.044047945088248754, 0.014677801124913747, 0.012574519823618057, 0.005491485890087517]","[7, 7, 5, 5, 6, 6, 4, 4, 5, 6, 5, 6, 5, 7, 7, 5, 6, 6, 6, 7]"
14,"[0.05196550404278761, 0.045387805828275826, 0.05748496157216972, 0.049404743157044455, 0.05571010631351133, 0.04797479254276758, 0.049983026257333606, 0.0493923039000947, 0.04927452618638718, 0.0535520741853231, 0.050933987714233804, 0.04569220467154601, 0.05265717725726842, 0.04883428445651329, 0.05466511991398875, 0.0522083718570814, 0.05259734498603003, 0.048738287028806684, 0.0463332861715961, 0.051229912085857775]","[0.0012593996225871724, 0.0015032025613288531, 0.0027272223733898512, 0.0015329482634975301, 0.003113836255515029, 0.001275233733828148, 0.001529618129793138, 0.0029412547354829553, 0.002812525762723579, 0.0053130800634729825, 0.0013595990188461288, 0.0014210780542858164, 0.0025672692769884834, 0.0020965460697322377, 0.0016334747697279242, 0.0012357627611698562, 0.0035163821250529005, 0.003893067276046806, 0.0029818619631829203, 0.0015233566829660626]","[7, 7, 5, 5, 5, 7, 7, 7, 7, 6, 6, 6, 6, 7, 6, 5, 5, 7, 7, 7]","[0.13638052125714598, 0.13669380165714368, 0.15720700024286155, 0.1631668777142912, 0.16325247214289057, 0.14232621048571284, 0.13107547548571413, 0.14650267074285434, 0.14667149468572396, 0.17660998254285526, 0.1569052230999984, 0.13893756151428857, 0.14348318800000145, 0.12376682375713699, 0.16292076821428703, 0.15714293298571128, 0.15882449799999643, 0.14783257297143076, 0.13824819260000173, 0.13409729640000023]","[0.004374484091290346, 0.0037954283526995987, 0.003746525570461357, 0.0020416459280834815, 0.007140446122831918, 0.00505562556411071, 0.004950939274908147, 0.004184955943800939, 0.004229970174626582, 0.00316832060163906, 0.012011996106535089, 0.00311835973483917, 0.0037947606889542572, 0.0025690416832626585, 0.004604656045429827, 0.0020915416875837457, 0.00606866860588402, 0.003317933280724832, 0.003774356600959715, 0.003197342608506327]","[7, 7, 6, 5, 5, 6, 7, 7, 7, 6, 6, 7, 6, 7, 6, 5, 5, 6, 7, 7]","[1.4824143769999734, 0.23970433285712392, 36.396487829285725, 3.937212926428564, 1.2605578188570885, 4.095235034999957, 1.5441875217143206, 0.27771199100003024, 0.18017538388571666, 2.4897036248571243, 2.1638207942857144, 0.5071715197142826, 0.8810067334285512, 0.7867413165714164, 0.4717364171428926, 4.5338200585714015, 0.49555370271429766, 0.9506683057143164, 0.35722115499996626, 0.9811538077143334]","[0.07948020819985885, 0.005382187698595705, 1.132866630879437, 0.04266929112947795, 0.030857967853049204, 0.07850840820622132, 0.05725715047149494, 0.012798704323399097, 0.003554341106333375, 0.02708883311482252, 0.022826071214299044, 0.013000032364946955, 0.013254005307068651, 0.014322791900970393, 0.04350253759329671, 0.06898396996781882, 0.017022796769115636, 0.007336155617411851, 0.005111262071203849, 0.026104726268402583]","[7, 9, 6, 6, 6, 7, 7, 9, 9, 8, 7, 8, 8, 9, 8, 6, 9, 8, 7, 8]"
18,"[0.09248231790011882, 0.08388549618580977, 0.09474536942891842, 0.10465569275755635, 0.09891556419897825, 0.1020819539283236, 0.09744544038590643, 0.09785940907188759, 0.09276575424300972, 0.10058929285691452, 0.08734780329978094, 0.10834819720018588, 0.09444234614202286, 0.09954073368571699, 0.09936484344237084, 0.0889443075001639, 0.08360228405716563, 0.09709415620101416, 0.08418010390055965, 0.10017105738557543]","[0.0011939925548254719, 0.00291288710273466, 0.0030318637345271397, 0.004147311601516786, 0.004729374236739418, 0.0023600637675138293, 0.00729122079854324, 0.002383115850388496, 0.0023856028847694445, 0.0020898647942093488, 0.0014866296487407577, 0.006255342660184936, 0.006626465927605626, 0.004407997144037552, 0.0027974983806294007, 0.0032684829878926627, 0.003468847935298615, 0.005187828981084421, 0.0018076445196700433, 0.003268059257302448]","[8, 10, 8, 7, 8, 7, 7, 6, 8, 8, 7, 6, 7, 7, 8, 9, 9, 8, 8, 7]","[0.43455385999998597, 0.346560837571425, 0.4223509934286085, 0.4239450367142256, 0.4587003678571883, 0.42001794614290183, 0.4859111110000803, 0.4822116974285109, 0.40064329728576403, 0.414802582571383, 0.4034043324286358, 0.5163772650000088, 0.4043969951428283, 0.41113069742855907, 0.42408438485715905, 0.3656360961428423, 0.36500508628575645, 0.4531522292857387, 0.3885676061428122, 0.4220008464286106]","[0.017813731649256127, 0.013377502361989011, 0.014388189746472414, 0.021780167770542112, 0.04579251786583823, 0.012735212471008695, 0.014448291931565115, 0.01564350930583464, 0.0074852007618287555, 0.017242655872178696, 0.01664969937421459, 0.021139093346478968, 0.019542593346417423, 0.009000358789618851, 0.018732186537234186, 0.007212072188239847, 0.008214409317328721, 0.009296191059062146, 0.016376554879120066, 0.0037499812868394063]","[8, 10, 8, 7, 8, 7, 7, 6, 8, 8, 7, 6, 7, 7, 8, 9, 9, 7, 8, 7]","[0.7902180715714167, 6.061818529142848, 5.773342113428531, 15.33981011428578, 0.9412083038571382, 10.716832627857132, 1.1654506448571087, 9.810564671999957, 1.8637266508571884, 9.04334738342852, 2.121203095000023, 4.43207045428572, 1.5923287165714035, 3.0129819172856775, 1.4544293817142975, 1.56684645571441, 0.5886581955713025, 1.3551675898572415, 0.4398259467142712, 2.7678156941428824]","[0.029609574446103938, 0.07466176198166348, 0.07623166155753942, 0.32630748199802395, 0.02482380003756795, 0.16328818791282024, 0.040496623821683, 0.08711256158374751, 0.03268334860675093, 0.1104142268505673, 0.02812297417141653, 0.08872129355776832, 0.017351304816580447, 0.061854669395370786, 0.016931445624255023, 0.015782129683041338, 0.01693767256074376, 0.03558344599143431, 0.01852128892334548, 0.026237948043020414]","[11, 11, 10, 7, 10, 9, 9, 8, 10, 9, 10, 8, 11, 9, 9, 10, 11, 10, 11, 9]"
22,"[0.150683048229465, 0.1550364618430779, 0.14557557808542956, 0.14632721992924674, 0.1473230554568415, 0.1449930275578351, 0.15866897891391998, 0.13578282704277497, 0.14425756058481057, 0.15285193484326426, 0.14430251408484765, 0.16410581095759488, 0.15211062062797803, 0.14567499078569068, 0.14411304304334666, 0.15216778501385958, 0.15658869704306458, 0.13927367584297567, 0.14556917748621864, 0.14745435078511945]","[0.0067655875664501194, 0.0042683584460412125, 0.006416579280265097, 0.010598312164924621, 0.0057320801509828205, 0.0023132076605987886, 0.0030979576419167304, 0.0020044788372472087, 0.006483482494170086, 0.005180869899547029, 0.005844940408090252, 0.009057179841750817, 0.00393415846211106, 0.002754399570968029, 0.004298462977126889, 0.008770508314460003, 0.0051043636315012695, 0.0054161220180785445, 0.00924151575450408, 0.013086767388343277]","[8, 8, 8, 9, 9, 9, 7, 9, 10, 9, 8, 9, 8, 9, 8, 8, 8, 10, 10, 9]","[0.9710650325714596, 1.1318133688571703, 0.9964633898571265, 1.0166466362857136, 1.0917972710000023, 1.000532968999973, 1.1964990691428739, 1.0007467998571624, 0.999530687571483, 1.0266399007143394, 1.0238777248570972, 1.1613078789999756, 1.0023627082856754, 0.9894304445714235, 1.0751978448571922, 1.0888829427142355, 0.9695844132857019, 0.959234493714283, 0.923703239714249, 0.9469681057143394]","[0.01447144978490124, 0.02038079065487241, 0.010695695178177471, 0.02687417656142375, 0.01561390583149924, 0.021922453645303094, 0.023358197627270413, 0.03318059183005077, 0.03637804155004834, 0.05527682673081847, 0.02640780522055445, 0.03420196787279872, 0.029302008595116925, 0.019692707152480723, 0.02454499303051516, 0.03326250980691335, 0.014348946691228485, 0.025137996287450316, 0.03335205256825409, 0.03744021651995825]","[9, 8, 8, 9, 8, 9, 7, 9, 9, 8, 8, 8, 8, 10, 8, 8, 9, 10, 10, 9]","[2.265921283714306, 0.4284423630000284, 6.129356343428624, 16.99403884600003, 1.2458027857142693, 3.3029271855714017, 4.16560771428567, 5.634402385857162, 0.7700853997142596, 2.72989031600004, 68.41440880114286, 2.62565678471427, 58.46942616028563, 0.8432518915714614, 0.8105059874285742, 3.688247645285823, 5.438456139714357, 0.8765952092857593, 2.642412814999911, 0.6964063752856678]","[0.03318885288596336, 0.020546668901471398, 0.09886404767682123, 0.20262107821981507, 0.024317821516963965, 0.14526167672812074, 0.2517470973233039, 0.08394696919984555, 0.017558345630777045, 0.07647068603966564, 0.48953304255898056, 0.07322019666713582, 0.6957096501250264, 0.01702706170630178, 0.03416265269761578, 0.05291250688339365, 0.07989330570576335, 0.0201621242733621, 0.054502882177772036, 0.022160732325393208]","[13, 12, 9, 10, 12, 12, 10, 12, 13, 11, 10, 11, 8, 14, 14, 12, 11, 13, 11, 12]"
26,"[0.24192694086481684, 0.21292617428948038, 0.2157453024285912, 0.22916578427871823, 0.2199121952830215, 0.23803774242488934, 0.23343119671335444, 0.22239528457534366, 0.21602780600993096, 0.23745745286162542, 0.24615397500123695, 0.22625777671679057, 0.22041607071462618, 0.215522744572289, 0.22207909628299863, 0.2080383742785281, 0.21981394742864982, 0.21728792113883952, 0.22609206713968888, 0.2272529700005959]","[0.012560084850058892, 0.0051619785045297845, 0.008314016010158267, 0.007655571814526385, 0.012497806629140632, 0.008100612043968955, 0.008358478544429582, 0.005531773970196528, 0.007320285213791572, 0.006039801908899876, 0.008728156084125891, 0.005332652434354079, 0.008306101286104834, 0.008164483298000466, 0.004751886309908346, 0.006381104424907031, 0.008644202569054021, 0.010837333000050147, 0.01585324603973335, 0.011258145087927609]","[9, 11, 11, 9, 11, 8, 10, 9, 11, 7, 8, 9, 10, 9, 9, 9, 9, 9, 9, 8]","[2.0859384791427993, 2.047692890999997, 1.9667809895714592, 2.356940460285744, 2.155078650999972, 2.511639264285642, 2.172263933428602, 2.235447816857134, 2.06671673442848, 2.603024649714403, 2.442289140857156, 2.512007335428604, 2.288088905714306, 2.1787823910000435, 2.362509457142908, 2.2634328100000403, 2.246442696428533, 2.2814440480000746, 2.2906920705714646, 2.266810256428601]","[0.04250459567621376, 0.020365257385309563, 0.0445419564361747, 0.07400435462273297, 0.04344743307837651, 0.054541982102124485, 0.09389896698573172, 0.038051177176975357, 0.034047844856371134, 0.11930198030627764, 0.03712607136637883, 0.07984011251913606, 0.08924586037946551, 0.058802199559439744, 0.020795575821007398, 0.044949759931754506, 0.06091402962683446, 0.048498546208435446, 0.06130432545400039, 0.05457945882241661]","[10, 11, 11, 9, 11, 8, 9, 9, 11, 9, 8, 9, 10, 9, 9, 9, 11, 9, 9, 8]","[19.882154741000118, 4.457040396714286, 10.390947376285697, 21.482060196142942, 3.2519518358571338, 20.33953547800008, 7.041459934428791, 5.276946034571405, 2.8351327780001156, 9.622012633857205, 12.596993176857202, 0.7947891671428806, 0.7714302764286133, 6.992004140857326, 14.17448749642868, 5.526355468285536, 0.4614263957143651, 0.7566820718571502, 18.693282285857094, 106.68535993700009]","[0.8784345354042293, 0.03939976085119916, 0.10356350067457314, 0.19055995575797954, 0.06649140612162002, 0.18887141281886005, 0.10536972680654695, 0.058965010942979554, 0.043200292370918575, 0.1574641930550368, 0.16045688204751163, 0.013819582077623167, 0.010584097912220725, 0.08301865855355912, 0.15486373060166722, 0.07618690731725977, 0.008863571646466516, 0.018500132760306542, 0.24825254414949025, 0.9829420062496148]","[12, 14, 13, 11, 14, 10, 14, 12, 15, 14, 12, 13, 16, 12, 12, 14, 14, 15, 11, 12]"
30,"[0.3060356717116, 0.2987947035705604, 0.31793563871594543, 0.29851147142887513, 0.34541291028394233, 0.2934489805692075, 0.3448887164247156, 0.32877071529427276, 0.33998963742383886, 0.34287660843360107, 0.29340622600284405, 0.2793068647151813, 0.3129284559940321, 0.3434831507163056, 0.2934807595780252, 0.29793593500341686, 0.31135452371173805, 0.30372309899290223, 0.3202882687120499, 0.34953849870778086]","[0.01165375764227311, 0.012296122495722163, 0.05284200395855741, 0.010091882031601399, 0.013888685500987418, 0.008227536298839981, 0.020814248367642393, 0.012158316205677977, 0.008809695929253758, 0.014577885179913864, 0.022811628758568937, 0.012809189629529883, 0.0030554345994630466, 0.020207744794047435, 0.012063286557999365, 0.01638320037349334, 0.013509723233705993, 0.018597724720829722, 0.013872560407342877, 0.03617959442121585]","[11, 10, 11, 9, 9, 11, 10, 10, 9, 11, 13, 12, 10, 9, 12, 10, 11, 10, 10, 12]","[3.9197006444284983, 4.0874965684285405, 4.307937690285728, 4.076000604428567, 4.535710017571416, 4.192003310571375, 4.415198697285697, 4.024605216428556, 4.330101002714271, 3.8835778265714516, 3.8827238795714556, 3.8396925335713865, 4.068358901571498, 4.661546288142939, 3.8721386844285917, 4.23903858185713, 4.276935604285817, 3.9719159532857184, 4.157540515571457, 3.802160026571528]","[0.10987846996837684, 0.09939303146468788, 0.16148634494494615, 0.08544742865508648, 0.09370858372950065, 0.06955020806160683, 0.07778733545091736, 0.08234721233874032, 0.08613053127457818, 0.05036733967166664, 0.0770464133475624, 0.05897129514887867, 0.145462287422662, 0.39535626529532125, 0.08621207546590752, 0.11925851505622834, 0.08823459936370316, 0.03767921497534815, 0.045850648650412676, 0.051497111166108375]","[12, 10, 10, 9, 9, 11, 10, 10, 9, 10, 11, 12, 10, 9, 12, 11, 10, 10, 10, 12]","[13.105231889285799, 33.291596856571495, 21.07793240385672, 558.8822066069997, 2.8025421587145893, 5.927762069000112, 1.063032757714609, 27.793422742285525, 12.983257003428662, 204.68795379985698, 7.430460069713912, 21.037826909285805, 30.871113285857323, 182.24136327800028, 363.9139532415715, 13.303770769000298, 1.1832564418572085, 53.21420031014194, 5.42305477714295, 5.390460790571004]","[0.1470887378395232, 0.3071384708619794, 0.23978686825556264, 5.4842135721129734, 0.06921598869669288, 0.2822564363259582, 0.025317123309891505, 1.0623669915529548, 0.24370338836040376, 2.4729593133766343, 0.21454996577979288, 0.40452418461806616, 1.2715817484057177, 3.647647352763601, 32.56389871909056, 0.054943933335401124, 0.01601827633003339, 0.9452629399918743, 0.04199570315655297, 0.055097625496676864]","[16, 15, 14, 11, 16, 16, 17, 14, 13, 14, 15, 15, 14, 13, 14, 16, 17, 16, 16, 15]"
34,"[0.5456505661464429, 0.5067905920025494, 0.5367381504246234, 0.5142504479985551, 0.5233925137103402, 0.5424005144242463, 0.5286468907142989, 0.5552669015721351, 0.532315046281188, 0.5273767901401568, 0.4996773471440455, 0.5454017938588679, 0.5736975641380663, 0.5259452145796136, 0.5357477082829324, 0.49848323614319917, 0.544101986140179, 0.5231707605666348, 0.5609440371419103, 0.5251239395667133]","[0.016752439749881207, 0.01880919655640405, 0.026253002953382967, 0.0383155326667855, 0.02105804778521873, 0.015401389644268522, 0.027555784329568758, 0.0155760430554576, 0.017477972992261365, 0.023505365555603387, 0.020423571655361787, 0.014588383888515263, 0.03431789350597742, 0.022832208034160435, 0.020414372024990236, 0.014291544155965534, 0.02280557654708432, 0.008820995961302147, 0.02204598137757405, 0.01617972652798829]","[11, 10, 11, 11, 12, 12, 12, 10, 10, 11, 12, 12, 12, 10, 9, 11, 11, 11, 10, 12]","[7.721275640571548, 7.822222285143003, 7.254988011142749, 7.276628672857181, 7.407631190428544, 7.21036607257143, 7.279494910714155, 7.964917483142926, 7.991273101142789, 7.887450811571398, 7.421352839714213, 7.3999815047143, 7.545139323857127, 7.466308561714284, 7.5985953749998645, 7.157393750428582, 7.542230725142872, 7.584491778428595, 7.882725462857122, 7.880431555428653]","[0.1465415700841026, 0.07343457093852498, 0.14608165628908523, 0.09688320429119844, 0.1230332669836089, 0.12828364727195699, 0.10301232838133333, 0.15960268549030468, 0.16890440162557951, 0.15466323107324365, 0.078354641187529, 0.11891967898061616, 0.12139296319925337, 0.148170102966208, 0.08539958191035102, 0.14280962809271983, 0.13316282586996286, 0.09510192595957706, 0.09791326407556461, 0.09799442447214823]","[11, 10, 12, 11, 13, 11, 12, 10, 10, 10, 12, 12, 13, 11, 9, 13, 11, 11, 10, 11]","[413.06958154557185, 91.61458988371513, 149.06837348314366, 61.43444242671415, 1.7444790811423445, 32.37334474328548, 100.65769833414379, 1.727711515714223, 5.150843534714243, 6.08576690800068, 1.542811732286022, 20.29844945914322, 5.795693569428424, 18.285402395000087, 22.439406040000385, 6.53110699257117, 2.83321330171488, 5.0753048437140285, 24.557818088713766, 2.231964480142259]","[7.966817585676011, 0.39024214250904626, 1.6308656430643815, 2.02986008456439, 0.03937176394539938, 0.3380954858742165, 0.7289684407999192, 0.049344276556640004, 0.08753684412502964, 0.09875169342492561, 0.02761336854791729, 0.208284513089957, 0.07864281336231711, 0.20771760359680239, 0.193707133064315, 0.0925995283419476, 0.03773615535913876, 0.021160238483792896, 0.29397577698980526, 0.03065527579278142]","[18, 15, 13, 17, 21, 14, 16, 19, 17, 17, 20, 15, 19, 14, 15, 20, 19, 18, 17, 19]"
38,"[0.7488438908642691, 0.729932662432215, 0.7351637762829861, 0.7364434342806427, 0.7316044567144543, 0.7065102557119515, 0.7032296720010761, 0.6956659247225616, 0.7314659622872048, 0.7226027362880164, 0.7257500390031575, 0.7750998511453092, 0.7141571994247248, 0.6892388391424902, 0.7092255992839844, 0.7205412257130125, 0.6969392029901168, 0.6995296525669151, 0.6804157972926207, 0.7476413947130952]","[0.02179074275569686, 0.01576171729289702, 0.020605305062190132, 0.028953153994250108, 0.022350047274480936, 0.015439429186459398, 0.012275750244609893, 0.028786313832365327, 0.029339677088193006, 0.013727768656779304, 0.02513149714619058, 0.017489441737661603, 0.03190050417920711, 0.02312455456277591, 0.022664146999097374, 0.014463634907260067, 0.027723295264904992, 0.014368765559767446, 0.022088453983417643, 0.01728607481417702]","[10, 11, 12, 13, 12, 12, 12, 13, 12, 11, 13, 11, 12, 13, 12, 13, 11, 12, 12, 11]","[12.668493911571463, 13.056348711857027, 12.610591061857122, 12.079127727142934, 12.572058037285776, 12.63377978357117, 12.571217449714434, 12.618442615428519, 12.789934747999983, 12.976621950571305, 12.499223457143021, 13.49796922557159, 12.529346196142926, 11.946036673857245, 12.469765556857315, 12.199358855571388, 12.890694780285619, 13.329678645000188, 12.107345987428484, 13.483672248999937]","[0.08419044422038843, 0.13218206862590884, 0.15266335238848575, 0.13745237451941927, 0.16653634188231256, 0.15907168310624334, 0.10361088957305714, 0.09337563279902311, 0.16506154765442796, 0.1605747980592468, 0.23905797822721056, 0.25041239893457584, 0.16709775740039812, 0.22926010420716023, 0.13182662606268253, 0.1801872177521762, 0.4912429326469897, 0.3051725295153769, 0.11675909652944369, 0.18659493240509328]","[11, 11, 12, 14, 11, 13, 10, 11, 11, 12, 13, 10, 12, 13, 13, 13, 12, 12, 12, 10]","[97.71212925342843, 5.966850295285569, 3.9559946228572307, 4.802933802571455, 65.04461400400032, 7.662927966857491, 46.04800011185788, 43.85754992328501, 71.86918122299956, 41.20436792685723, 5.306353986571984, 14.088970097856613, 2.6039003902858116, 32.22200113414302, 51.152311739569996, 47.93133371757098, 138.64167180971603, 2.3406541811408323, 10.069663802571345, 5.08594371657091]","[2.0851448628219393, 0.05728785830993979, 0.06927438253292677, 0.07354402692694686, 1.3539815478892976, 0.05336826375306915, 0.41507131347097875, 0.3359217158405001, 0.7382723152949111, 0.4125415876071883, 0.09725007976698032, 0.2591732440980303, 0.04875955878582003, 0.6472764414908144, 0.5942612830405439, 0.7335164421801851, 0.9328361007165407, 0.014451883584532525, 0.03477026746187574, 0.04706349368388134]","[16, 19, 19, 20, 17, 21, 16, 17, 17, 18, 20, 19, 23, 18, 17, 19, 17, 20, 18, 22]"
42,"[0.9862820071409389, 0.9691457137149493, 0.8811575178614086, 0.900621989425937, 0.9243423188537625, 0.9194138011495981, 0.9981317485674351, 0.9467902334290557, 0.8947721521461582, 0.93732884471787, 0.9490947481327956, 0.9624749392844804, 0.9735354548528059, 0.9424557115791166, 1.0237320934206113, 1.0607664888583324, 1.0674536059918214, 1.0406362267136242, 0.8831072490096891, 0.961248896001572]","[0.04863418340689699, 0.03807052942697364, 0.030250442129203515, 0.02578722982566605, 0.045798340477667364, 0.039550293106636214, 0.011998919691496043, 0.03483376111618389, 0.039095868239654656, 0.054845019721621834, 0.04278468778607066, 0.022184454249593862, 0.03652136619928372, 0.08077210050385847, 0.09134637526085997, 0.0760059370032459, 0.05279888251574349, 0.0698812306455405, 0.11221882449137055, 0.05005879204915921]","[11, 12, 12, 13, 13, 14, 12, 13, 14, 14, 13, 13, 13, 13, 14, 14, 13, 12, 13, 13]","[21.30943124557169, 20.877472902714153, 19.824056942571328, 20.290991519142672, 21.749912760571533, 19.839080874857245, 20.82621907600008, 19.989855228428496, 20.211347900428727, 19.860645481571087, 20.02634279742883, 19.59930090785721, 19.315690396999862, 20.746081681714195, 19.673355156428702, 19.914671015713925, 19.831773004143024, 20.396068053713993, 20.300358825571102, 21.054911775857494]","[0.3239378539584638, 0.255930146288709, 0.29044228442123593, 0.6333824219857184, 0.8919946434661474, 0.21550549053895351, 0.6846624934255147, 0.3974689206570321, 0.2522251897416789, 0.317297400716078, 0.24914478488915628, 0.34308341264529046, 0.41417421987951647, 0.38743384149801435, 0.29826965282048545, 0.28227307026841725, 0.18784552927546988, 0.36941568894744237, 0.4047427656221382, 0.16553086060743133]","[11, 12, 12, 14, 12, 14, 11, 14, 13, 14, 13, 13, 13, 12, 15, 13, 14, 13, 12, 12]","[51.00372426214329, 8.429089967285108, 1178.1718644737152, 1.744539804856426, 5.720934342285285, 8.832737932998239, 119.44575813542802, 4.484314188427691, 6.387548920428214, 18.58839689114185, 37.807942444143656, 24.444548054430925, 25.459126583856623, 11.057678152285266, 14.03176688014355, 53.88603630185493, 54.514360031856214, 15.16393909985553, 27.27735363242599, 6.116010471142155]","[0.7614556180573363, 0.05348007357188178, 38.383681158066615, 0.016420910827877506, 0.04317198324414743, 0.034922174973092815, 1.009541966017994, 0.021571697485784806, 0.06237199879486669, 0.06520962649655047, 0.11008034375701659, 0.056629267530966546, 0.16891496102819778, 0.04926000476781715, 0.09259617648532804, 0.26789370050691513, 0.25212524106691714, 0.06392741854620708, 0.11503930462960887, 0.04468980378794938]","[20, 20, 17, 25, 23, 23, 18, 21, 21, 21, 20, 18, 21, 21, 22, 19, 18, 21, 18, 20]"
