Circuit Sizes,QNET Average Runtime,QNET Stdev Runtime,QNET Width
6,"[0.018370334618571342, 0.01882407725571446, 0.020193420108571444, 0.01977849254000002, 0.020261643462857006, 0.019122861567142796, 0.020317350999999918, 0.01896044937714302, 0.01992068613428582, 0.02027186913714299, 0.019791319607142473, 0.01981726605428532, 0.019211514742857424, 0.01832000382571453, 0.01947362130714298, 0.01856973006428575, 0.018981620362857256, 0.019269424334285887, 0.018761231118571198, 0.01821125562000004]","[0.004656355834525185, 0.004506558294539112, 0.006378371670956428, 0.005036906386391812, 0.004979752211889283, 0.005252123190902409, 0.005236562093363626, 0.004839217576047837, 0.005082964099558955, 0.005607985823616236, 0.0051567559200894715, 0.005115700310666812, 0.004547724884386698, 0.005342891248322526, 0.004826190002712713, 0.0046174431881080375, 0.004885865814763272, 0.004333212717605966, 0.005469095165850791, 0.004602182963081154]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 4, 4, 4, 4, 4, 4]"
10,"[0.041127457185713666, 0.04204544918571368, 0.02950689382856971, 0.039133842128572786, 0.033591443214286955, 0.03167875468571505, 0.040140461228572476, 0.03834094178571214, 0.03528548480000089, 0.033793007314282676, 0.039343123300000116, 0.033977642571427887, 0.0395662363000026, 0.03424801077142904, 0.034103682057143814, 0.0367417603714281, 0.03458230688571088, 0.037167565499997376, 0.036339725571427346, 0.03216417841428308]","[0.002725545394033881, 0.005288478940615063, 0.00153799964185971, 0.0020842250327380183, 0.002070889326075167, 0.0021842790144136915, 0.001998512424878053, 0.002108474793188218, 0.0022350260623790847, 0.0017320441522899216, 0.0018945713181004519, 0.0017162989260649597, 0.002648770768066243, 0.0014642979671520605, 0.0012803983832268444, 0.0022992138719484276, 0.0016143139365366647, 0.0018616718196730298, 0.001790065491755475, 0.002657651095099394]","[6, 5, 5, 5, 6, 6, 4, 4, 5, 6, 4, 5, 5, 6, 6, 5, 5, 5, 6, 6]"
14,"[0.13638052125714598, 0.13669380165714368, 0.15720700024286155, 0.1631668777142912, 0.16325247214289057, 0.14232621048571284, 0.13107547548571413, 0.14650267074285434, 0.14667149468572396, 0.17660998254285526, 0.1569052230999984, 0.13893756151428857, 0.14348318800000145, 0.12376682375713699, 0.16292076821428703, 0.15714293298571128, 0.15882449799999643, 0.14783257297143076, 0.13824819260000173, 0.13409729640000023]","[0.004374484091290346, 0.0037954283526995987, 0.003746525570461357, 0.0020416459280834815, 0.007140446122831918, 0.00505562556411071, 0.004950939274908147, 0.004184955943800939, 0.004229970174626582, 0.00316832060163906, 0.012011996106535089, 0.00311835973483917, 0.0037947606889542572, 0.0025690416832626585, 0.004604656045429827, 0.0020915416875837457, 0.00606866860588402, 0.003317933280724832, 0.003774356600959715, 0.003197342608506327]","[7, 7, 6, 5, 5, 6, 7, 7, 7, 6, 6, 7, 6, 7, 6, 5, 5, 6, 7, 7]"
18,"[0.43455385999998597, 0.346560837571425, 0.4223509934286085, 0.4239450367142256, 0.4587003678571883, 0.42001794614290183, 0.4859111110000803, 0.4822116974285109, 0.40064329728576403, 0.414802582571383, 0.4034043324286358, 0.5163772650000088, 0.4043969951428283, 0.41113069742855907, 0.42408438485715905, 0.3656360961428423, 0.36500508628575645, 0.4531522292857387, 0.3885676061428122, 0.4220008464286106]","[0.017813731649256127, 0.013377502361989011, 0.014388189746472414, 0.021780167770542112, 0.04579251786583823, 0.012735212471008695, 0.014448291931565115, 0.01564350930583464, 0.0074852007618287555, 0.017242655872178696, 0.01664969937421459, 0.021139093346478968, 0.019542593346417423, 0.009000358789618851, 0.018732186537234186, 0.007212072188239847, 0.008214409317328721, 0.009296191059062146, 0.016376554879120066, 0.0037499812868394063]","[8, 10, 8, 7, 8, 7, 7, 6, 8, 8, 7, 6, 7, 7, 8, 9, 9, 7, 8, 7]"
22,"[0.9710650325714596, 1.1318133688571703, 0.9964633898571265, 1.0166466362857136, 1.0917972710000023, 1.000532968999973, 1.1964990691428739, 1.0007467998571624, 0.999530687571483, 1.0266399007143394, 1.0238777248570972, 1.1613078789999756, 1.0023627082856754, 0.9894304445714235, 1.0751978448571922, 1.0888829427142355, 0.9695844132857019, 0.959234493714283, 0.923703239714249, 0.9469681057143394]","[0.01447144978490124, 0.02038079065487241, 0.010695695178177471, 0.02687417656142375, 0.01561390583149924, 0.021922453645303094, 0.023358197627270413, 0.03318059183005077, 0.03637804155004834, 0.05527682673081847, 0.02640780522055445, 0.03420196787279872, 0.029302008595116925, 0.019692707152480723, 0.02454499303051516, 0.03326250980691335, 0.014348946691228485, 0.025137996287450316, 0.03335205256825409, 0.03744021651995825]","[9, 8, 8, 9, 8, 9, 7, 9, 9, 8, 8, 8, 8, 10, 8, 8, 9, 10, 10, 9]"
26,"[2.0859384791427993, 2.047692890999997, 1.9667809895714592, 2.356940460285744, 2.155078650999972, 2.511639264285642, 2.172263933428602, 2.235447816857134, 2.06671673442848, 2.603024649714403, 2.442289140857156, 2.512007335428604, 2.288088905714306, 2.1787823910000435, 2.362509457142908, 2.2634328100000403, 2.246442696428533, 2.2814440480000746, 2.2906920705714646, 2.266810256428601]","[0.04250459567621376, 0.020365257385309563, 0.0445419564361747, 0.07400435462273297, 0.04344743307837651, 0.054541982102124485, 0.09389896698573172, 0.038051177176975357, 0.034047844856371134, 0.11930198030627764, 0.03712607136637883, 0.07984011251913606, 0.08924586037946551, 0.058802199559439744, 0.020795575821007398, 0.044949759931754506, 0.06091402962683446, 0.048498546208435446, 0.06130432545400039, 0.05457945882241661]","[10, 11, 11, 9, 11, 8, 9, 9, 11, 9, 8, 9, 10, 9, 9, 9, 11, 9, 9, 8]"
30,"[3.9197006444284983, 4.0874965684285405, 4.307937690285728, 4.076000604428567, 4.535710017571416, 4.192003310571375, 4.415198697285697, 4.024605216428556, 4.330101002714271, 3.8835778265714516, 3.8827238795714556, 3.8396925335713865, 4.068358901571498, 4.661546288142939, 3.8721386844285917, 4.23903858185713, 4.276935604285817, 3.9719159532857184, 4.157540515571457, 3.802160026571528]","[0.10987846996837684, 0.09939303146468788, 0.16148634494494615, 0.08544742865508648, 0.09370858372950065, 0.06955020806160683, 0.07778733545091736, 0.08234721233874032, 0.08613053127457818, 0.05036733967166664, 0.0770464133475624, 0.05897129514887867, 0.145462287422662, 0.39535626529532125, 0.08621207546590752, 0.11925851505622834, 0.08823459936370316, 0.03767921497534815, 0.045850648650412676, 0.051497111166108375]","[12, 10, 10, 9, 9, 11, 10, 10, 9, 10, 11, 12, 10, 9, 12, 11, 10, 10, 10, 12]"
34,"[7.721275640571548, 7.822222285143003, 7.254988011142749, 7.276628672857181, 7.407631190428544, 7.21036607257143, 7.279494910714155, 7.964917483142926, 7.991273101142789, 7.887450811571398, 7.421352839714213, 7.3999815047143, 7.545139323857127, 7.466308561714284, 7.5985953749998645, 7.157393750428582, 7.542230725142872, 7.584491778428595, 7.882725462857122, 7.880431555428653]","[0.1465415700841026, 0.07343457093852498, 0.14608165628908523, 0.09688320429119844, 0.1230332669836089, 0.12828364727195699, 0.10301232838133333, 0.15960268549030468, 0.16890440162557951, 0.15466323107324365, 0.078354641187529, 0.11891967898061616, 0.12139296319925337, 0.148170102966208, 0.08539958191035102, 0.14280962809271983, 0.13316282586996286, 0.09510192595957706, 0.09791326407556461, 0.09799442447214823]","[11, 10, 12, 11, 13, 11, 12, 10, 10, 10, 12, 12, 13, 11, 9, 13, 11, 11, 10, 11]"
38,"[12.668493911571463, 13.056348711857027, 12.610591061857122, 12.079127727142934, 12.572058037285776, 12.63377978357117, 12.571217449714434, 12.618442615428519, 12.789934747999983, 12.976621950571305, 12.499223457143021, 13.49796922557159, 12.529346196142926, 11.946036673857245, 12.469765556857315, 12.199358855571388, 12.890694780285619, 13.329678645000188, 12.107345987428484, 13.483672248999937]","[0.08419044422038843, 0.13218206862590884, 0.15266335238848575, 0.13745237451941927, 0.16653634188231256, 0.15907168310624334, 0.10361088957305714, 0.09337563279902311, 0.16506154765442796, 0.1605747980592468, 0.23905797822721056, 0.25041239893457584, 0.16709775740039812, 0.22926010420716023, 0.13182662606268253, 0.1801872177521762, 0.4912429326469897, 0.3051725295153769, 0.11675909652944369, 0.18659493240509328]","[11, 11, 12, 14, 11, 13, 10, 11, 11, 12, 13, 10, 12, 13, 13, 13, 12, 12, 12, 10]"
42,"[21.30943124557169, 20.877472902714153, 19.824056942571328, 20.290991519142672, 21.749912760571533, 19.839080874857245, 20.82621907600008, 19.989855228428496, 20.211347900428727, 19.860645481571087, 20.02634279742883, 19.59930090785721, 19.315690396999862, 20.746081681714195, 19.673355156428702, 19.914671015713925, 19.831773004143024, 20.396068053713993, 20.300358825571102, 21.054911775857494]","[0.3239378539584638, 0.255930146288709, 0.29044228442123593, 0.6333824219857184, 0.8919946434661474, 0.21550549053895351, 0.6846624934255147, 0.3974689206570321, 0.2522251897416789, 0.317297400716078, 0.24914478488915628, 0.34308341264529046, 0.41417421987951647, 0.38743384149801435, 0.29826965282048545, 0.28227307026841725, 0.18784552927546988, 0.36941568894744237, 0.4047427656221382, 0.16553086060743133]","[11, 12, 12, 14, 12, 14, 11, 14, 13, 14, 13, 13, 13, 12, 15, 13, 14, 13, 12, 12]"
