Circuit Sizes,Qiskit Average Runtime,Qiskit Stdev Runtime,Qiskit Width
6,"[0.05248965485714296, 0.0499476838714291, 0.18371035794285717, 0.05799105957142956, 0.052474014914285556, 0.16800971300000356, 0.11272449001428819, 0.27166011585714905, 0.05213628021428706, 0.0515415011000016, 0.06423921848571582, 0.1650054914428584, 0.08383424418571102, 0.07169371010000013, 0.06297053267142994, 0.15060800164285734, 0.0511431781857157, 0.1116171459142866, 0.18073336405714632, 0.11888364049999933]","[0.003679177474356534, 0.001934952077133793, 0.010278450786415249, 0.012543489344550083, 0.0073554393055061725, 0.002595808923990165, 0.003164740535371633, 0.02971855529192745, 0.001957779917640935, 0.0015007677657881819, 0.004196501755786868, 0.013196362336825624, 0.002283554526200378, 0.0009971931461395763, 0.0038458094314155864, 0.0023929496273139127, 0.002335534616612055, 0.0029707515918262106, 0.022669004707953067, 0.004716826220988996]","[4, 5, 4, 5, 5, 4, 4, 4, 5, 5, 4, 4, 5, 5, 4, 4, 5, 4, 4, 4]"
10,"[0.10945740907142994, 0.1845668699285706, 1.7320860892857257, 0.7518304065714249, 0.7469556264285627, 0.4667994207142913, 1.1714629910000147, 2.6017514312857037, 1.8272323902857093, 0.3225618724285693, 0.8956152694285525, 0.5418961367142694, 0.7583735859999804, 0.2595031085713962, 0.19813971201428687, 0.6723236968571688, 0.7897722242857006, 0.34017098228571285, 0.3344573731428357, 0.201559864985716]","[0.0031460319869195444, 0.0040284044472246785, 0.0740461051892645, 0.06140294525781891, 0.021882012146144176, 0.01563140223152867, 0.011676614585664767, 0.2648920645527373, 0.02528600142298281, 0.015313444696561486, 0.02563207129707161, 0.027020286281180007, 0.0235418573657525, 0.010794154771636852, 0.0026671318120240982, 0.021583417030858382, 0.044047945088248754, 0.014677801124913747, 0.012574519823618057, 0.005491485890087517]","[7, 7, 5, 5, 6, 6, 4, 4, 5, 6, 5, 6, 5, 7, 7, 5, 6, 6, 6, 7]"
14,"[1.4824143769999734, 0.23970433285712392, 36.396487829285725, 3.937212926428564, 1.2605578188570885, 4.095235034999957, 1.5441875217143206, 0.27771199100003024, 0.18017538388571666, 2.4897036248571243, 2.1638207942857144, 0.5071715197142826, 0.8810067334285512, 0.7867413165714164, 0.4717364171428926, 4.5338200585714015, 0.49555370271429766, 0.9506683057143164, 0.35722115499996626, 0.9811538077143334]","[0.07948020819985885, 0.005382187698595705, 1.132866630879437, 0.04266929112947795, 0.030857967853049204, 0.07850840820622132, 0.05725715047149494, 0.012798704323399097, 0.003554341106333375, 0.02708883311482252, 0.022826071214299044, 0.013000032364946955, 0.013254005307068651, 0.014322791900970393, 0.04350253759329671, 0.06898396996781882, 0.017022796769115636, 0.007336155617411851, 0.005111262071203849, 0.026104726268402583]","[7, 9, 6, 6, 6, 7, 7, 9, 9, 8, 7, 8, 8, 9, 8, 6, 9, 8, 7, 8]"
18,"[0.7902180715714167, 6.061818529142848, 5.773342113428531, 15.33981011428578, 0.9412083038571382, 10.716832627857132, 1.1654506448571087, 9.810564671999957, 1.8637266508571884, 9.04334738342852, 2.121203095000023, 4.43207045428572, 1.5923287165714035, 3.0129819172856775, 1.4544293817142975, 1.56684645571441, 0.5886581955713025, 1.3551675898572415, 0.4398259467142712, 2.7678156941428824]","[0.029609574446103938, 0.07466176198166348, 0.07623166155753942, 0.32630748199802395, 0.02482380003756795, 0.16328818791282024, 0.040496623821683, 0.08711256158374751, 0.03268334860675093, 0.1104142268505673, 0.02812297417141653, 0.08872129355776832, 0.017351304816580447, 0.061854669395370786, 0.016931445624255023, 0.015782129683041338, 0.01693767256074376, 0.03558344599143431, 0.01852128892334548, 0.026237948043020414]","[11, 11, 10, 7, 10, 9, 9, 8, 10, 9, 10, 8, 11, 9, 9, 10, 11, 10, 11, 9]"
22,"[2.265921283714306, 0.4284423630000284, 6.129356343428624, 16.99403884600003, 1.2458027857142693, 3.3029271855714017, 4.16560771428567, 5.634402385857162, 0.7700853997142596, 2.72989031600004, 68.41440880114286, 2.62565678471427, 58.46942616028563, 0.8432518915714614, 0.8105059874285742, 3.688247645285823, 5.438456139714357, 0.8765952092857593, 2.642412814999911, 0.6964063752856678]","[0.03318885288596336, 0.020546668901471398, 0.09886404767682123, 0.20262107821981507, 0.024317821516963965, 0.14526167672812074, 0.2517470973233039, 0.08394696919984555, 0.017558345630777045, 0.07647068603966564, 0.48953304255898056, 0.07322019666713582, 0.6957096501250264, 0.01702706170630178, 0.03416265269761578, 0.05291250688339365, 0.07989330570576335, 0.0201621242733621, 0.054502882177772036, 0.022160732325393208]","[13, 12, 9, 10, 12, 12, 10, 12, 13, 11, 10, 11, 8, 14, 14, 12, 11, 13, 11, 12]"
26,"[19.882154741000118, 4.457040396714286, 10.390947376285697, 21.482060196142942, 3.2519518358571338, 20.33953547800008, 7.041459934428791, 5.276946034571405, 2.8351327780001156, 9.622012633857205, 12.596993176857202, 0.7947891671428806, 0.7714302764286133, 6.992004140857326, 14.17448749642868, 5.526355468285536, 0.4614263957143651, 0.7566820718571502, 18.693282285857094, 106.68535993700009]","[0.8784345354042293, 0.03939976085119916, 0.10356350067457314, 0.19055995575797954, 0.06649140612162002, 0.18887141281886005, 0.10536972680654695, 0.058965010942979554, 0.043200292370918575, 0.1574641930550368, 0.16045688204751163, 0.013819582077623167, 0.010584097912220725, 0.08301865855355912, 0.15486373060166722, 0.07618690731725977, 0.008863571646466516, 0.018500132760306542, 0.24825254414949025, 0.9829420062496148]","[12, 14, 13, 11, 14, 10, 14, 12, 15, 14, 12, 13, 16, 12, 12, 14, 14, 15, 11, 12]"
30,"[13.105231889285799, 33.291596856571495, 21.07793240385672, 558.8822066069997, 2.8025421587145893, 5.927762069000112, 1.063032757714609, 27.793422742285525, 12.983257003428662, 204.68795379985698, 7.430460069713912, 21.037826909285805, 30.871113285857323, 182.24136327800028, 363.9139532415715, 13.303770769000298, 1.1832564418572085, 53.21420031014194, 5.42305477714295, 5.390460790571004]","[0.1470887378395232, 0.3071384708619794, 0.23978686825556264, 5.4842135721129734, 0.06921598869669288, 0.2822564363259582, 0.025317123309891505, 1.0623669915529548, 0.24370338836040376, 2.4729593133766343, 0.21454996577979288, 0.40452418461806616, 1.2715817484057177, 3.647647352763601, 32.56389871909056, 0.054943933335401124, 0.01601827633003339, 0.9452629399918743, 0.04199570315655297, 0.055097625496676864]","[16, 15, 14, 11, 16, 16, 17, 14, 13, 14, 15, 15, 14, 13, 14, 16, 17, 16, 16, 15]"
34,"[413.06958154557185, 91.61458988371513, 149.06837348314366, 61.43444242671415, 1.7444790811423445, 32.37334474328548, 100.65769833414379, 1.727711515714223, 5.150843534714243, 6.08576690800068, 1.542811732286022, 20.29844945914322, 5.795693569428424, 18.285402395000087, 22.439406040000385, 6.53110699257117, 2.83321330171488, 5.0753048437140285, 24.557818088713766, 2.231964480142259]","[7.966817585676011, 0.39024214250904626, 1.6308656430643815, 2.02986008456439, 0.03937176394539938, 0.3380954858742165, 0.7289684407999192, 0.049344276556640004, 0.08753684412502964, 0.09875169342492561, 0.02761336854791729, 0.208284513089957, 0.07864281336231711, 0.20771760359680239, 0.193707133064315, 0.0925995283419476, 0.03773615535913876, 0.021160238483792896, 0.29397577698980526, 0.03065527579278142]","[18, 15, 13, 17, 21, 14, 16, 19, 17, 17, 20, 15, 19, 14, 15, 20, 19, 18, 17, 19]"
38,"[97.71212925342843, 5.966850295285569, 3.9559946228572307, 4.802933802571455, 65.04461400400032, 7.662927966857491, 46.04800011185788, 43.85754992328501, 71.86918122299956, 41.20436792685723, 5.306353986571984, 14.088970097856613, 2.6039003902858116, 32.22200113414302, 51.152311739569996, 47.93133371757098, 138.64167180971603, 2.3406541811408323, 10.069663802571345, 5.08594371657091]","[2.0851448628219393, 0.05728785830993979, 0.06927438253292677, 0.07354402692694686, 1.3539815478892976, 0.05336826375306915, 0.41507131347097875, 0.3359217158405001, 0.7382723152949111, 0.4125415876071883, 0.09725007976698032, 0.2591732440980303, 0.04875955878582003, 0.6472764414908144, 0.5942612830405439, 0.7335164421801851, 0.9328361007165407, 0.014451883584532525, 0.03477026746187574, 0.04706349368388134]","[16, 19, 19, 20, 17, 21, 16, 17, 17, 18, 20, 19, 23, 18, 17, 19, 17, 20, 18, 22]"
42,"[51.00372426214329, 8.429089967285108, 1178.1718644737152, 1.744539804856426, 5.720934342285285, 8.832737932998239, 119.44575813542802, 4.484314188427691, 6.387548920428214, 18.58839689114185, 37.807942444143656, 24.444548054430925, 25.459126583856623, 11.057678152285266, 14.03176688014355, 53.88603630185493, 54.514360031856214, 15.16393909985553, 27.27735363242599, 6.116010471142155]","[0.7614556180573363, 0.05348007357188178, 38.383681158066615, 0.016420910827877506, 0.04317198324414743, 0.034922174973092815, 1.009541966017994, 0.021571697485784806, 0.06237199879486669, 0.06520962649655047, 0.11008034375701659, 0.056629267530966546, 0.16891496102819778, 0.04926000476781715, 0.09259617648532804, 0.26789370050691513, 0.25212524106691714, 0.06392741854620708, 0.11503930462960887, 0.04468980378794938]","[20, 20, 17, 25, 23, 23, 18, 21, 21, 21, 20, 18, 21, 21, 22, 19, 18, 21, 18, 20]"
