Circuit Sizes,GidNET Average Runtime,GidNET Stdev Runtime,GidNET Width,QNET Average Runtime,QNET Stdev Runtime,QNET Width,Qiskit Average Runtime,Qiskit Stdev Runtime,Qiskit Width
6,"[0.012166557701379394, 0.012920136651456622, 0.011250008377163405, 0.01177833198852438, 0.011375795980025681, 0.011071921997104906, 0.011640296134282834, 0.011346936094300222, 0.012169051012855822, 0.011245319964322594, 0.01155955519997016, 0.012012072224253123, 0.011659368541482503, 0.010771687737100624, 0.012214753359938707, 0.011865650148538407, 0.011310696630056816, 0.011339965208608192, 0.011690493322925507, 0.01159097173288631]","[0.0010342148395607097, 0.0007291972397867072, 0.0005182302458802132, 0.0004011598668178484, 0.0003011963185977175, 0.0004932167359325584, 0.00043960092945500174, 0.0005341969026238533, 0.0010979872760480088, 0.0003962403165768253, 0.00032400549808353295, 0.0011430391262882528, 0.0011337443277854773, 0.0001795476147733916, 0.0018464393139269555, 0.0006724029219644657, 0.00037560337049732766, 0.00024984822298231853, 0.0004041633190673107, 0.00022784633567184297]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 4, 4, 4, 4, 4, 4]","[0.018370334618571342, 0.01882407725571446, 0.020193420108571444, 0.01977849254000002, 0.020261643462857006, 0.019122861567142796, 0.020317350999999918, 0.01896044937714302, 0.01992068613428582, 0.02027186913714299, 0.019791319607142473, 0.01981726605428532, 0.019211514742857424, 0.01832000382571453, 0.01947362130714298, 0.01856973006428575, 0.018981620362857256, 0.019269424334285887, 0.018761231118571198, 0.01821125562000004]","[0.004656355834525185, 0.004506558294539112, 0.006378371670956428, 0.005036906386391812, 0.004979752211889283, 0.005252123190902409, 0.005236562093363626, 0.004839217576047837, 0.005082964099558955, 0.005607985823616236, 0.0051567559200894715, 0.005115700310666812, 0.004547724884386698, 0.005342891248322526, 0.004826190002712713, 0.0046174431881080375, 0.004885865814763272, 0.004333212717605966, 0.005469095165850791, 0.004602182963081154]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 4, 4, 4, 4, 4, 4]","[0.05248965485714296, 0.0499476838714291, 0.18371035794285717, 0.05799105957142956, 0.052474014914285556, 0.16800971300000356, 0.11272449001428819, 0.27166011585714905, 0.05213628021428706, 0.0515415011000016, 0.06423921848571582, 0.1650054914428584, 0.08383424418571102, 0.07169371010000013, 0.06297053267142994, 0.15060800164285734, 0.0511431781857157, 0.1116171459142866, 0.18073336405714632, 0.11888364049999933]","[0.003679177474356534, 0.001934952077133793, 0.010278450786415249, 0.012543489344550083, 0.0073554393055061725, 0.002595808923990165, 0.003164740535371633, 0.02971855529192745, 0.001957779917640935, 0.0015007677657881819, 0.004196501755786868, 0.013196362336825624, 0.002283554526200378, 0.0009971931461395763, 0.0038458094314155864, 0.0023929496273139127, 0.002335534616612055, 0.0029707515918262106, 0.022669004707953067, 0.004716826220988996]","[4, 5, 4, 5, 5, 4, 4, 4, 5, 5, 4, 4, 5, 5, 4, 4, 5, 4, 4, 4]"
10,"[0.023866672057192773, 0.02149031361498471, 0.021883724728416255, 0.022967835013488574, 0.02274560858578687, 0.021930877457322952, 0.022423561014667418, 0.023121996600197498, 0.022102832228327835, 0.021631485414608114, 0.022303369357333784, 0.023132058228449232, 0.023286830099615536, 0.020946919971278736, 0.02249357801462923, 0.022941267800134873, 0.021406991556952044, 0.021873536857310683, 0.02146417167095933, 0.020780856314896873]","[0.0015434245337002663, 0.0006282411007553109, 0.0013094747524276108, 0.0012698635766075898, 0.0017799676801786215, 0.0017244368536244968, 0.0006728906214901785, 0.0030291952920421146, 0.0008741376663710593, 0.0007832934353282197, 0.00020424678807519426, 0.0018361976224731003, 0.0015236280050831994, 0.00046242364689446004, 0.002415307503667091, 0.0019155884083737894, 0.0005974107212459716, 0.001006721704988345, 0.0006607568061450975, 0.00038009046823076663]","[6, 5, 5, 5, 6, 6, 5, 4, 5, 6, 4, 5, 5, 6, 6, 5, 5, 5, 6, 6]","[0.041127457185713666, 0.04204544918571368, 0.02950689382856971, 0.039133842128572786, 0.033591443214286955, 0.03167875468571505, 0.040140461228572476, 0.03834094178571214, 0.03528548480000089, 0.033793007314282676, 0.039343123300000116, 0.033977642571427887, 0.0395662363000026, 0.03424801077142904, 0.034103682057143814, 0.0367417603714281, 0.03458230688571088, 0.037167565499997376, 0.036339725571427346, 0.03216417841428308]","[0.002725545394033881, 0.005288478940615063, 0.00153799964185971, 0.0020842250327380183, 0.002070889326075167, 0.0021842790144136915, 0.001998512424878053, 0.002108474793188218, 0.0022350260623790847, 0.0017320441522899216, 0.0018945713181004519, 0.0017162989260649597, 0.002648770768066243, 0.0014642979671520605, 0.0012803983832268444, 0.0022992138719484276, 0.0016143139365366647, 0.0018616718196730298, 0.001790065491755475, 0.002657651095099394]","[6, 5, 5, 5, 6, 6, 4, 4, 5, 6, 4, 5, 5, 6, 6, 5, 5, 5, 6, 6]","[0.10945740907142994, 0.1845668699285706, 1.7320860892857257, 0.7518304065714249, 0.7469556264285627, 0.4667994207142913, 1.1714629910000147, 2.6017514312857037, 1.8272323902857093, 0.3225618724285693, 0.8956152694285525, 0.5418961367142694, 0.7583735859999804, 0.2595031085713962, 0.19813971201428687, 0.6723236968571688, 0.7897722242857006, 0.34017098228571285, 0.3344573731428357, 0.201559864985716]","[0.0031460319869195444, 0.0040284044472246785, 0.0740461051892645, 0.06140294525781891, 0.021882012146144176, 0.01563140223152867, 0.011676614585664767, 0.2648920645527373, 0.02528600142298281, 0.015313444696561486, 0.02563207129707161, 0.027020286281180007, 0.0235418573657525, 0.010794154771636852, 0.0026671318120240982, 0.021583417030858382, 0.044047945088248754, 0.014677801124913747, 0.012574519823618057, 0.005491485890087517]","[7, 7, 5, 5, 6, 6, 4, 4, 5, 6, 5, 6, 5, 7, 7, 5, 6, 6, 6, 7]"
14,"[0.039104924800007476, 0.0363590129131418, 0.04150030345772393, 0.038781555600248145, 0.04311221539932636, 0.037820242214781634, 0.03869840149917374, 0.035757068000384605, 0.0370845807292166, 0.04018252827102385, 0.03925615252852107, 0.03750523274315388, 0.03810496635685142, 0.038043492257462015, 0.039378403170849195, 0.040311831228401776, 0.039091577385469076, 0.03922339094237291, 0.03693020015738772, 0.036563059757047864]","[0.0016198968391392718, 0.001477675621595302, 0.003891102386647104, 0.002331040179599641, 0.005899363773763114, 0.0010807525811061714, 0.002681300747608936, 0.0009308776487996938, 0.0008460767371816704, 0.003434557516308861, 0.0018966620540702393, 0.001994477551157645, 0.0008574513956206011, 0.00404228122390792, 0.0006323158989680497, 0.0017284968686550122, 0.0017615585063949252, 0.0021149549680546166, 0.0012061074246424509, 0.0005441433642290118]","[7, 7, 5, 5, 5, 7, 7, 7, 7, 6, 7, 7, 6, 7, 6, 6, 5, 7, 7, 7]","[0.13638052125714598, 0.13669380165714368, 0.15720700024286155, 0.1631668777142912, 0.16325247214289057, 0.14232621048571284, 0.13107547548571413, 0.14650267074285434, 0.14667149468572396, 0.17660998254285526, 0.1569052230999984, 0.13893756151428857, 0.14348318800000145, 0.12376682375713699, 0.16292076821428703, 0.15714293298571128, 0.15882449799999643, 0.14783257297143076, 0.13824819260000173, 0.13409729640000023]","[0.004374484091290346, 0.0037954283526995987, 0.003746525570461357, 0.0020416459280834815, 0.007140446122831918, 0.00505562556411071, 0.004950939274908147, 0.004184955943800939, 0.004229970174626582, 0.00316832060163906, 0.012011996106535089, 0.00311835973483917, 0.0037947606889542572, 0.0025690416832626585, 0.004604656045429827, 0.0020915416875837457, 0.00606866860588402, 0.003317933280724832, 0.003774356600959715, 0.003197342608506327]","[7, 7, 6, 5, 5, 6, 7, 7, 7, 6, 6, 7, 6, 7, 6, 5, 5, 6, 7, 7]","[1.4824143769999734, 0.23970433285712392, 36.396487829285725, 3.937212926428564, 1.2605578188570885, 4.095235034999957, 1.5441875217143206, 0.27771199100003024, 0.18017538388571666, 2.4897036248571243, 2.1638207942857144, 0.5071715197142826, 0.8810067334285512, 0.7867413165714164, 0.4717364171428926, 4.5338200585714015, 0.49555370271429766, 0.9506683057143164, 0.35722115499996626, 0.9811538077143334]","[0.07948020819985885, 0.005382187698595705, 1.132866630879437, 0.04266929112947795, 0.030857967853049204, 0.07850840820622132, 0.05725715047149494, 0.012798704323399097, 0.003554341106333375, 0.02708883311482252, 0.022826071214299044, 0.013000032364946955, 0.013254005307068651, 0.014322791900970393, 0.04350253759329671, 0.06898396996781882, 0.017022796769115636, 0.007336155617411851, 0.005111262071203849, 0.026104726268402583]","[7, 9, 6, 6, 6, 7, 7, 9, 9, 8, 7, 8, 8, 9, 8, 6, 9, 8, 7, 8]"
18,"[0.0620639471998272, 0.05540579368618117, 0.06502370222879109, 0.06745022524347795, 0.06541642827089943, 0.08217140515667519, 0.06819314652821049, 0.06309471797223003, 0.059920698642963545, 0.06476782919988702, 0.06248023872862437, 0.06823569234319231, 0.060750798029559, 0.06515639520034061, 0.06163854505825189, 0.06622125658614095, 0.06123548652852021, 0.0679756645000972, 0.06007070678585608, 0.06837080495731372]","[0.002135431546157631, 0.002248094637879243, 0.0039007818786629513, 0.004461392443058546, 0.001883411919354184, 0.008516776081714429, 0.0029274556688939865, 0.0014589335339671944, 0.0018957686075359228, 0.0034373461153582, 0.003337759210900815, 0.002971190184261343, 0.0020355349958514767, 0.005494611965213665, 0.0028616088023207574, 0.005703869139368348, 0.004473869158164129, 0.005184134405819198, 0.005531912876657982, 0.005235829661601799]","[8, 10, 8, 7, 8, 8, 8, 7, 8, 8, 8, 6, 8, 7, 8, 9, 10, 8, 8, 7]","[0.43455385999998597, 0.346560837571425, 0.4223509934286085, 0.4239450367142256, 0.4587003678571883, 0.42001794614290183, 0.4859111110000803, 0.4822116974285109, 0.40064329728576403, 0.414802582571383, 0.4034043324286358, 0.5163772650000088, 0.4043969951428283, 0.41113069742855907, 0.42408438485715905, 0.3656360961428423, 0.36500508628575645, 0.4531522292857387, 0.3885676061428122, 0.4220008464286106]","[0.017813731649256127, 0.013377502361989011, 0.014388189746472414, 0.021780167770542112, 0.04579251786583823, 0.012735212471008695, 0.014448291931565115, 0.01564350930583464, 0.0074852007618287555, 0.017242655872178696, 0.01664969937421459, 0.021139093346478968, 0.019542593346417423, 0.009000358789618851, 0.018732186537234186, 0.007212072188239847, 0.008214409317328721, 0.009296191059062146, 0.016376554879120066, 0.0037499812868394063]","[8, 10, 8, 7, 8, 7, 7, 6, 8, 8, 7, 6, 7, 7, 8, 9, 9, 7, 8, 7]","[0.7902180715714167, 6.061818529142848, 5.773342113428531, 15.33981011428578, 0.9412083038571382, 10.716832627857132, 1.1654506448571087, 9.810564671999957, 1.8637266508571884, 9.04334738342852, 2.121203095000023, 4.43207045428572, 1.5923287165714035, 3.0129819172856775, 1.4544293817142975, 1.56684645571441, 0.5886581955713025, 1.3551675898572415, 0.4398259467142712, 2.7678156941428824]","[0.029609574446103938, 0.07466176198166348, 0.07623166155753942, 0.32630748199802395, 0.02482380003756795, 0.16328818791282024, 0.040496623821683, 0.08711256158374751, 0.03268334860675093, 0.1104142268505673, 0.02812297417141653, 0.08872129355776832, 0.017351304816580447, 0.061854669395370786, 0.016931445624255023, 0.015782129683041338, 0.01693767256074376, 0.03558344599143431, 0.01852128892334548, 0.026237948043020414]","[11, 11, 10, 7, 10, 9, 9, 8, 10, 9, 10, 8, 11, 9, 9, 10, 11, 10, 11, 9]"
22,"[0.10337604114278552, 0.10639269052813428, 0.10337763608549722, 0.10229169491420699, 0.10965812611435208, 0.10486778872811035, 0.1138000517713538, 0.10443572772907958, 0.10019841747125612, 0.10669055935702221, 0.09873033978593802, 0.11505873118543865, 0.10373192175715563, 0.10085947057065954, 0.10405336501384486, 0.10891862444197094, 0.10221750875727074, 0.0988493249568689, 0.10470447908529812, 0.10135406470134123]","[0.006154720710390066, 0.005228961439449171, 0.003529728161208413, 0.003904183705118117, 0.009536921004558352, 0.0032084718260241597, 0.0057233257365785295, 0.004433214514148046, 0.0034954379572996173, 0.004856345391302581, 0.005498653274590637, 0.0036775982197305287, 0.0020826811936251947, 0.003809526363867862, 0.004295993266928051, 0.007768541743219934, 0.0027990450715971744, 0.00841290438276661, 0.00572417579326673, 0.003168921416485279]","[9, 8, 8, 9, 8, 9, 7, 9, 10, 8, 8, 9, 8, 10, 8, 8, 9, 10, 10, 9]","[0.9710650325714596, 1.1318133688571703, 0.9964633898571265, 1.0166466362857136, 1.0917972710000023, 1.000532968999973, 1.1964990691428739, 1.0007467998571624, 0.999530687571483, 1.0266399007143394, 1.0238777248570972, 1.1613078789999756, 1.0023627082856754, 0.9894304445714235, 1.0751978448571922, 1.0888829427142355, 0.9695844132857019, 0.959234493714283, 0.923703239714249, 0.9469681057143394]","[0.01447144978490124, 0.02038079065487241, 0.010695695178177471, 0.02687417656142375, 0.01561390583149924, 0.021922453645303094, 0.023358197627270413, 0.03318059183005077, 0.03637804155004834, 0.05527682673081847, 0.02640780522055445, 0.03420196787279872, 0.029302008595116925, 0.019692707152480723, 0.02454499303051516, 0.03326250980691335, 0.014348946691228485, 0.025137996287450316, 0.03335205256825409, 0.03744021651995825]","[9, 8, 8, 9, 8, 9, 7, 9, 9, 8, 8, 8, 8, 10, 8, 8, 9, 10, 10, 9]","[2.265921283714306, 0.4284423630000284, 6.129356343428624, 16.99403884600003, 1.2458027857142693, 3.3029271855714017, 4.16560771428567, 5.634402385857162, 0.7700853997142596, 2.72989031600004, 68.41440880114286, 2.62565678471427, 58.46942616028563, 0.8432518915714614, 0.8105059874285742, 3.688247645285823, 5.438456139714357, 0.8765952092857593, 2.642412814999911, 0.6964063752856678]","[0.03318885288596336, 0.020546668901471398, 0.09886404767682123, 0.20262107821981507, 0.024317821516963965, 0.14526167672812074, 0.2517470973233039, 0.08394696919984555, 0.017558345630777045, 0.07647068603966564, 0.48953304255898056, 0.07322019666713582, 0.6957096501250264, 0.01702706170630178, 0.03416265269761578, 0.05291250688339365, 0.07989330570576335, 0.0201621242733621, 0.054502882177772036, 0.022160732325393208]","[13, 12, 9, 10, 12, 12, 10, 12, 13, 11, 10, 11, 8, 14, 14, 12, 11, 13, 11, 12]"
26,"[0.1728900470995411, 0.16052145884314087, 0.17125857958536864, 0.181032326314432, 0.16966198584206202, 0.2089612576145945, 0.17622076087115732, 0.17203228204245016, 0.15930510944246115, 0.17691055997066932, 0.19580017597140145, 0.18567428968630598, 0.18788852248606938, 0.17366835171456582, 0.17736296462784854, 0.1582040712141731, 0.15904506848518005, 0.16918268120082627, 0.1620549902432166, 0.17019473488617223]","[0.011005678679515156, 0.005064630367031119, 0.010703249199106805, 0.0114599381523574, 0.009668131606780305, 0.02017181240500212, 0.008770622762377613, 0.008853965918444303, 0.004129368839919426, 0.0027811046245311156, 0.015248211754341103, 0.011045040935670858, 0.018076547964028418, 0.00923630588612346, 0.004876929269955272, 0.003462477698653615, 0.0026503914289861224, 0.008595806077630724, 0.00429512126052515, 0.005816491461489295]","[9, 11, 11, 9, 11, 8, 9, 10, 11, 7, 8, 9, 10, 9, 9, 9, 9, 9, 9, 9]","[2.0859384791427993, 2.047692890999997, 1.9667809895714592, 2.356940460285744, 2.155078650999972, 2.511639264285642, 2.172263933428602, 2.235447816857134, 2.06671673442848, 2.603024649714403, 2.442289140857156, 2.512007335428604, 2.288088905714306, 2.1787823910000435, 2.362509457142908, 2.2634328100000403, 2.246442696428533, 2.2814440480000746, 2.2906920705714646, 2.266810256428601]","[0.04250459567621376, 0.020365257385309563, 0.0445419564361747, 0.07400435462273297, 0.04344743307837651, 0.054541982102124485, 0.09389896698573172, 0.038051177176975357, 0.034047844856371134, 0.11930198030627764, 0.03712607136637883, 0.07984011251913606, 0.08924586037946551, 0.058802199559439744, 0.020795575821007398, 0.044949759931754506, 0.06091402962683446, 0.048498546208435446, 0.06130432545400039, 0.05457945882241661]","[10, 11, 11, 9, 11, 8, 9, 9, 11, 9, 8, 9, 10, 9, 9, 9, 11, 9, 9, 8]","[19.882154741000118, 4.457040396714286, 10.390947376285697, 21.482060196142942, 3.2519518358571338, 20.33953547800008, 7.041459934428791, 5.276946034571405, 2.8351327780001156, 9.622012633857205, 12.596993176857202, 0.7947891671428806, 0.7714302764286133, 6.992004140857326, 14.17448749642868, 5.526355468285536, 0.4614263957143651, 0.7566820718571502, 18.693282285857094, 106.68535993700009]","[0.8784345354042293, 0.03939976085119916, 0.10356350067457314, 0.19055995575797954, 0.06649140612162002, 0.18887141281886005, 0.10536972680654695, 0.058965010942979554, 0.043200292370918575, 0.1574641930550368, 0.16045688204751163, 0.013819582077623167, 0.010584097912220725, 0.08301865855355912, 0.15486373060166722, 0.07618690731725977, 0.008863571646466516, 0.018500132760306542, 0.24825254414949025, 0.9829420062496148]","[12, 14, 13, 11, 14, 10, 14, 12, 15, 14, 12, 13, 16, 12, 12, 14, 14, 15, 11, 12]"
30,"[0.26139220914670397, 0.24676861400283606, 0.30538780885815087, 0.24496323470624962, 0.2827805299977107, 0.26414834171633367, 0.26746228214220275, 0.27672175871391247, 0.29475380357637604, 0.28758718185625703, 0.268711164427389, 0.23632005142696602, 0.26297042985762736, 0.2914054050010496, 0.2618040224229584, 0.26766732143005356, 0.28568872699231307, 0.2940149405788231, 0.27018771713898915, 0.26249968457601164]","[0.016677974522909072, 0.01499022669196343, 0.03666151272019908, 0.009003263463963497, 0.005523038788026577, 0.022555489608448012, 0.007885262186928038, 0.023889868424383967, 0.03448144725173771, 0.04827836829041897, 0.030860713155440866, 0.009363539047411149, 0.019124380218713165, 0.024461178949167262, 0.018024333165643922, 0.028781301870760653, 0.04202895212409383, 0.030527475908701293, 0.02269084449546888, 0.026798116829711387]","[12, 11, 11, 9, 9, 12, 11, 10, 9, 11, 13, 12, 10, 10, 11, 11, 11, 10, 10, 12]","[3.9197006444284983, 4.0874965684285405, 4.307937690285728, 4.076000604428567, 4.535710017571416, 4.192003310571375, 4.415198697285697, 4.024605216428556, 4.330101002714271, 3.8835778265714516, 3.8827238795714556, 3.8396925335713865, 4.068358901571498, 4.661546288142939, 3.8721386844285917, 4.23903858185713, 4.276935604285817, 3.9719159532857184, 4.157540515571457, 3.802160026571528]","[0.10987846996837684, 0.09939303146468788, 0.16148634494494615, 0.08544742865508648, 0.09370858372950065, 0.06955020806160683, 0.07778733545091736, 0.08234721233874032, 0.08613053127457818, 0.05036733967166664, 0.0770464133475624, 0.05897129514887867, 0.145462287422662, 0.39535626529532125, 0.08621207546590752, 0.11925851505622834, 0.08823459936370316, 0.03767921497534815, 0.045850648650412676, 0.051497111166108375]","[12, 10, 10, 9, 9, 11, 10, 10, 9, 10, 11, 12, 10, 9, 12, 11, 10, 10, 10, 12]","[13.105231889285799, 33.291596856571495, 21.07793240385672, 558.8822066069997, 2.8025421587145893, 5.927762069000112, 1.063032757714609, 27.793422742285525, 12.983257003428662, 204.68795379985698, 7.430460069713912, 21.037826909285805, 30.871113285857323, 182.24136327800028, 363.9139532415715, 13.303770769000298, 1.1832564418572085, 53.21420031014194, 5.42305477714295, 5.390460790571004]","[0.1470887378395232, 0.3071384708619794, 0.23978686825556264, 5.4842135721129734, 0.06921598869669288, 0.2822564363259582, 0.025317123309891505, 1.0623669915529548, 0.24370338836040376, 2.4729593133766343, 0.21454996577979288, 0.40452418461806616, 1.2715817484057177, 3.647647352763601, 32.56389871909056, 0.054943933335401124, 0.01601827633003339, 0.9452629399918743, 0.04199570315655297, 0.055097625496676864]","[16, 15, 14, 11, 16, 16, 17, 14, 13, 14, 15, 15, 14, 13, 14, 16, 17, 16, 16, 15]"
34,"[0.4316063532855229, 0.40746980170869, 0.4063761832824509, 0.3836848985769653, 0.4923818075788274, 0.41921974757652997, 0.39077577470951447, 0.41559622999297324, 0.4289356764264604, 0.3948141944336904, 0.3906596971459554, 0.4287268504309135, 0.38466256971254814, 0.41534003443250966, 0.3916311011375261, 0.3742677397177821, 0.42040670686401427, 0.46162142971297726, 0.4299089188571088, 0.38786122828605585]","[0.03605391652679289, 0.04094649094705672, 0.02415591783913823, 0.019385664105688448, 0.05516680390473121, 0.014446776831661418, 0.02231194914084742, 0.014071302421092478, 0.014654961882300128, 0.018853442206897497, 0.007867759145504215, 0.04204609586945867, 0.005951043879879748, 0.01671418474098523, 0.03685635668285595, 0.009040922404271276, 0.040255069274511474, 0.06283763842314626, 0.013295581993689264, 0.01324108546972017]","[11, 11, 11, 11, 12, 11, 13, 10, 11, 11, 12, 12, 13, 10, 10, 11, 11, 12, 10, 12]","[7.721275640571548, 7.822222285143003, 7.254988011142749, 7.276628672857181, 7.407631190428544, 7.21036607257143, 7.279494910714155, 7.964917483142926, 7.991273101142789, 7.887450811571398, 7.421352839714213, 7.3999815047143, 7.545139323857127, 7.466308561714284, 7.5985953749998645, 7.157393750428582, 7.542230725142872, 7.584491778428595, 7.882725462857122, 7.880431555428653]","[0.1465415700841026, 0.07343457093852498, 0.14608165628908523, 0.09688320429119844, 0.1230332669836089, 0.12828364727195699, 0.10301232838133333, 0.15960268549030468, 0.16890440162557951, 0.15466323107324365, 0.078354641187529, 0.11891967898061616, 0.12139296319925337, 0.148170102966208, 0.08539958191035102, 0.14280962809271983, 0.13316282586996286, 0.09510192595957706, 0.09791326407556461, 0.09799442447214823]","[11, 10, 12, 11, 13, 11, 12, 10, 10, 10, 12, 12, 13, 11, 9, 13, 11, 11, 10, 11]","[413.06958154557185, 91.61458988371513, 149.06837348314366, 61.43444242671415, 1.7444790811423445, 32.37334474328548, 100.65769833414379, 1.727711515714223, 5.150843534714243, 6.08576690800068, 1.542811732286022, 20.29844945914322, 5.795693569428424, 18.285402395000087, 22.439406040000385, 6.53110699257117, 2.83321330171488, 5.0753048437140285, 24.557818088713766, 2.231964480142259]","[7.966817585676011, 0.39024214250904626, 1.6308656430643815, 2.02986008456439, 0.03937176394539938, 0.3380954858742165, 0.7289684407999192, 0.049344276556640004, 0.08753684412502964, 0.09875169342492561, 0.02761336854791729, 0.208284513089957, 0.07864281336231711, 0.20771760359680239, 0.193707133064315, 0.0925995283419476, 0.03773615535913876, 0.021160238483792896, 0.29397577698980526, 0.03065527579278142]","[18, 15, 13, 17, 21, 14, 16, 19, 17, 17, 20, 15, 19, 14, 15, 20, 19, 18, 17, 19]"
38,"[0.589728558290517, 0.6107084522871966, 0.6219311548588199, 0.5795433842868079, 0.60149784085557, 0.5787327202851884, 0.5757483589986805, 0.5707848285715694, 0.6398731574258169, 0.6220795317079008, 0.6139987642860173, 0.6303867112853497, 0.6257887198548165, 0.5897182591392526, 0.5884613522835674, 0.6249115327123685, 0.57957009614412, 0.6050433645764964, 0.593918419709163, 0.6491501664318743]","[0.020509461353175277, 0.02425564133708192, 0.014741701795559078, 0.02256302950677635, 0.04330834965320743, 0.012764694084829735, 0.012402181139647207, 0.019538929416788278, 0.03977866944986448, 0.027902923349964442, 0.009163975228194806, 0.030344579487586627, 0.038382521759621376, 0.05830036005017721, 0.034826542070110204, 0.0187053092180631, 0.016801105109371516, 0.02403979181203776, 0.02616932566030985, 0.055391099224250354]","[12, 11, 12, 13, 12, 13, 12, 13, 11, 11, 13, 11, 13, 13, 12, 13, 11, 11, 12, 11]","[12.668493911571463, 13.056348711857027, 12.610591061857122, 12.079127727142934, 12.572058037285776, 12.63377978357117, 12.571217449714434, 12.618442615428519, 12.789934747999983, 12.976621950571305, 12.499223457143021, 13.49796922557159, 12.529346196142926, 11.946036673857245, 12.469765556857315, 12.199358855571388, 12.890694780285619, 13.329678645000188, 12.107345987428484, 13.483672248999937]","[0.08419044422038843, 0.13218206862590884, 0.15266335238848575, 0.13745237451941927, 0.16653634188231256, 0.15907168310624334, 0.10361088957305714, 0.09337563279902311, 0.16506154765442796, 0.1605747980592468, 0.23905797822721056, 0.25041239893457584, 0.16709775740039812, 0.22926010420716023, 0.13182662606268253, 0.1801872177521762, 0.4912429326469897, 0.3051725295153769, 0.11675909652944369, 0.18659493240509328]","[11, 11, 12, 14, 11, 13, 10, 11, 11, 12, 13, 10, 12, 13, 13, 13, 12, 12, 12, 10]","[97.71212925342843, 5.966850295285569, 3.9559946228572307, 4.802933802571455, 65.04461400400032, 7.662927966857491, 46.04800011185788, 43.85754992328501, 71.86918122299956, 41.20436792685723, 5.306353986571984, 14.088970097856613, 2.6039003902858116, 32.22200113414302, 51.152311739569996, 47.93133371757098, 138.64167180971603, 2.3406541811408323, 10.069663802571345, 5.08594371657091]","[2.0851448628219393, 0.05728785830993979, 0.06927438253292677, 0.07354402692694686, 1.3539815478892976, 0.05336826375306915, 0.41507131347097875, 0.3359217158405001, 0.7382723152949111, 0.4125415876071883, 0.09725007976698032, 0.2591732440980303, 0.04875955878582003, 0.6472764414908144, 0.5942612830405439, 0.7335164421801851, 0.9328361007165407, 0.014451883584532525, 0.03477026746187574, 0.04706349368388134]","[16, 19, 19, 20, 17, 21, 16, 17, 17, 18, 20, 19, 23, 18, 17, 19, 17, 20, 18, 22]"
42,"[0.9297994419965627, 0.9360718472869068, 0.9127420412883761, 0.8834565961483999, 0.8655821145678472, 0.8287321857101883, 0.9349202148607999, 0.8901829035769749, 0.8373005654346863, 0.8680499622839436, 0.8882892985670229, 0.8495348569995258, 0.8168884188593698, 0.9143097377132757, 0.8913059604279364, 0.9265742778578507, 0.9339896901469079, 0.8783779850013421, 0.9022545744290775, 0.9253116122895985]","[0.028316893402795622, 0.016533297695038553, 0.04260788168225288, 0.03657736483709157, 0.06309681578571913, 0.027831926884172666, 0.04320134881974361, 0.03747964559508624, 0.03228772072639844, 0.04741567386557254, 0.02677131415577981, 0.021657113014413053, 0.030996619420290784, 0.05494400236486877, 0.047466084154569335, 0.022487277116813566, 0.03555129390059935, 0.02299471229595266, 0.023833793751352868, 0.06309375713783558]","[12, 11, 13, 14, 13, 14, 12, 13, 14, 14, 13, 13, 13, 13, 15, 13, 14, 13, 13, 13]","[21.30943124557169, 20.877472902714153, 19.824056942571328, 20.290991519142672, 21.749912760571533, 19.839080874857245, 20.82621907600008, 19.989855228428496, 20.211347900428727, 19.860645481571087, 20.02634279742883, 19.59930090785721, 19.315690396999862, 20.746081681714195, 19.673355156428702, 19.914671015713925, 19.831773004143024, 20.396068053713993, 20.300358825571102, 21.054911775857494]","[0.3239378539584638, 0.255930146288709, 0.29044228442123593, 0.6333824219857184, 0.8919946434661474, 0.21550549053895351, 0.6846624934255147, 0.3974689206570321, 0.2522251897416789, 0.317297400716078, 0.24914478488915628, 0.34308341264529046, 0.41417421987951647, 0.38743384149801435, 0.29826965282048545, 0.28227307026841725, 0.18784552927546988, 0.36941568894744237, 0.4047427656221382, 0.16553086060743133]","[11, 12, 12, 14, 12, 14, 11, 14, 13, 14, 13, 13, 13, 12, 15, 13, 14, 13, 12, 12]","[51.00372426214329, 8.429089967285108, 1178.1718644737152, 1.744539804856426, 5.720934342285285, 8.832737932998239, 119.44575813542802, 4.484314188427691, 6.387548920428214, 18.58839689114185, 37.807942444143656, 24.444548054430925, 25.459126583856623, 11.057678152285266, 14.03176688014355, 53.88603630185493, 54.514360031856214, 15.16393909985553, 27.27735363242599, 6.116010471142155]","[0.7614556180573363, 0.05348007357188178, 38.383681158066615, 0.016420910827877506, 0.04317198324414743, 0.034922174973092815, 1.009541966017994, 0.021571697485784806, 0.06237199879486669, 0.06520962649655047, 0.11008034375701659, 0.056629267530966546, 0.16891496102819778, 0.04926000476781715, 0.09259617648532804, 0.26789370050691513, 0.25212524106691714, 0.06392741854620708, 0.11503930462960887, 0.04468980378794938]","[20, 20, 17, 25, 23, 23, 18, 21, 21, 21, 20, 18, 21, 21, 22, 19, 18, 21, 18, 20]"
