Circuit Sizes,GidNET Average Runtime,GidNET Stdev Runtime,GidNET Width
6,"[0.016198799784345155, 0.015286017823049666, 0.014021892348454067, 0.014617064247140663, 0.014108606735660164, 0.012990691142705535, 0.013832421790076686, 0.014121045534266158, 0.01392518068006861, 0.014612144994316623, 0.015092380541942216, 0.016827859143294127, 0.014882777009874448, 0.015549455456701774, 0.013899665968492627, 0.014173202460182697, 0.015242044665834068, 0.013707940451401685, 0.01348934691291236, 0.014626270872790234]","[0.0022751079322358026, 0.001761725113094714, 0.0010354799653048358, 0.0007645065977615275, 0.0008094486231566731, 0.0010315118235708824, 0.001046770402347451, 0.0015831077067517548, 0.000589808291404412, 0.0013612709048877944, 0.004743597636094004, 0.0019533821061225192, 0.0019344079206129166, 0.0030053925856833898, 0.0006931087020789199, 0.0009257046267574275, 0.0016088007850672637, 0.0007843334217172011, 0.0007291047764327921, 0.001733737978167766]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
10,"[0.05777723855654975, 0.024107399018664315, 0.04766373588603788, 0.04924937207251787, 0.04965204771475068, 0.027482630013920633, 0.06312657047196159, 0.05604697777141284, 0.05383065395705801, 0.047088822100444565, 0.05240363384031558, 0.05573749931396118, 0.051918374028589044, 0.022444520568574912, 0.048542272830049374, 0.050839688629743515, 0.04674169195849182, 0.04949071814272819, 0.03158161612809636, 0.020558773627271876]","[0.009121283062615672, 0.0013814251222345694, 0.006331631650331097, 0.0030541015066367946, 0.0035564631243610745, 0.004511470121877675, 0.007078523721665321, 0.007670132434168699, 0.0057505555565389764, 0.004389173880753686, 0.010585173393256968, 0.009130499573427164, 0.005937243867012333, 0.0007548279848580919, 0.002155728306596373, 0.009240532856457661, 0.0035955352801318114, 0.0030025568088792648, 0.0072569968062124405, 0.002418511954574502]","[9, 10, 9, 9, 9, 10, 8, 8, 9, 9, 7, 9, 8, 10, 8, 9, 9, 9, 10, 10]"
14,"[0.07497702911413008, 0.07704309707208137, 0.10298177480082293, 0.06693094132767459, 0.09470045094328401, 0.07005081352960717, 0.07604814412853947, 0.06481289325664485, 0.07036569296947813, 0.09061169158584172, 0.08564288797206245, 0.07603823944310924, 0.07731904590119874, 0.0693604100279377, 0.0863372583000455, 0.09851775040068397, 0.07864860558599633, 0.06836438789863938, 0.07512861091360848, 0.07838739351386072]","[0.0052219597719521576, 0.0038259402661281893, 0.010349583899173096, 0.011104470159793036, 0.009354023903183722, 0.0031031492104230513, 0.003179514817739465, 0.005017700297545827, 0.006517553379257835, 0.00578107510573113, 0.00968419783151696, 0.004259300160561757, 0.006670125898494441, 0.005817898091785302, 0.004953428577521728, 0.011401706065304822, 0.003178962324685545, 0.004297462840190838, 0.0054700942912028145, 0.008449505268281251]","[12, 12, 8, 10, 9, 12, 11, 13, 13, 10, 10, 12, 12, 12, 9, 10, 11, 13, 12, 11]"
18,"[0.12339676582819915, 0.11069482767239346, 0.12997782812869577, 0.17827029143726186, 0.12471599031455947, 0.12684954024319137, 0.13838309312788105, 0.1347064338724262, 0.10967411139863543, 0.12393138577213644, 0.12666172867092038, 0.14880603035645826, 0.11892490645820675, 0.14747089182824963, 0.12592667100086277, 0.11375088640072915, 0.12137577228547472, 0.13184078395632762, 0.12175890927153107, 0.126641358271341]","[0.027860363524278998, 0.009326838539454846, 0.012990067129010553, 0.03942025983823049, 0.00694423298151745, 0.012634524138485943, 0.0084560122654102, 0.016736785190273315, 0.010316707792121231, 0.008650571149335365, 0.010291116227843514, 0.01807025105353691, 0.011883566999636976, 0.028698291774568445, 0.014605717501613552, 0.015398191940255988, 0.01210686985643481, 0.006511018399203953, 0.012475845979408907, 0.005605852526924524]","[15, 16, 14, 11, 15, 13, 14, 14, 15, 14, 13, 11, 15, 12, 14, 16, 16, 14, 15, 15]"
22,"[0.1786760819992716, 0.20897661112830976, 0.1893874288428508, 0.1801971084712672, 0.19122362627281939, 0.1895664121431764, 0.3025394657077933, 0.19373321143211797, 0.17093452354394165, 0.16806046110162112, 0.18086061186789135, 0.1853489873706297, 0.21775194098674028, 0.17113375601225664, 0.21579261871686736, 0.18934940427841088, 0.2029227248526045, 0.1654325571850807, 0.15954936171432824, 0.17751470456964205]","[0.00880430810450432, 0.009643736018736164, 0.004074075886162812, 0.02380384675231398, 0.009943305447505081, 0.023332573198798393, 0.10228448434550906, 0.026913558973419616, 0.018640684073105228, 0.005571189889797696, 0.03916264836189252, 0.01579631747118782, 0.029967159107564992, 0.00958320066949299, 0.031775211626088866, 0.030015210956958187, 0.03324646169962008, 0.009810976095897865, 0.012496406834293618, 0.018675195063539596]","[16, 14, 16, 16, 16, 15, 12, 16, 18, 17, 15, 15, 13, 16, 15, 16, 14, 17, 18, 15]"
26,"[0.2605715548686151, 0.23586698056897148, 0.2320559874393179, 0.2363629616988224, 0.22051483383568535, 0.3003057242853434, 0.26322058841885465, 0.2415068124287895, 0.21501184628245287, 0.24947591785374762, 0.2749688922943148, 0.23333391498142322, 0.253158812269768, 0.2503389045679277, 0.23860146128572524, 0.21616121185278253, 0.20489090686065278, 0.17931563771396344, 0.20628697143235644, 0.2276146084186621]","[0.028818791774468815, 0.038171683970339224, 0.048234857446577364, 0.010013841302473452, 0.041226873821354135, 0.06156414028898819, 0.026185974167840687, 0.025245739962885597, 0.034015406640231095, 0.035109276910580266, 0.023483799538721158, 0.03342970439148996, 0.03239429175917309, 0.02739008035521741, 0.03364395412582896, 0.017681585310063894, 0.031207411636380147, 0.016421070641665165, 0.015584924773014132, 0.026421129672366293]","[16, 19, 20, 18, 21, 14, 16, 18, 21, 19, 13, 17, 16, 16, 18, 17, 18, 18, 16, 16]"
30,"[0.25332066999648567, 0.2717323710011052, 0.2909677944345666, 0.35284803999820724, 0.27131035069968285, 0.22063060599612072, 0.2804292905743101, 0.2951581407188704, 0.3400448817244199, 0.27885223858590635, 0.24844918857395118, 0.2569259094307199, 0.29735716342526886, 0.2909640574362129, 0.24100459691502954, 0.27825203785739305, 0.3258937038647543, 0.24498351828827122, 0.2675075944363406, 0.36516596528235823]","[0.02100657592539207, 0.034003827240948296, 0.028755567831050956, 0.0580905552129181, 0.02903233882505364, 0.03013681695497138, 0.020287410331211002, 0.023391225475634866, 0.04466447014945595, 0.04270788991648613, 0.050977618050400575, 0.01957771014870114, 0.03422675622084991, 0.016834328397096747, 0.02614406413301034, 0.03166801246229166, 0.03020478549561241, 0.008559467044958741, 0.03690863295788187, 0.20139560665859166]","[18, 21, 21, 20, 17, 24, 21, 18, 17, 20, 23, 21, 21, 17, 23, 19, 18, 21, 19, 21]"
34,"[0.352729222437899, 0.4365204105769018, 0.3540804371503847, 0.47856731599728974, 0.33367986156372353, 0.3746578512779836, 0.3765229442755559, 0.4118986864258269, 0.38050942656783654, 0.4117921994267298, 0.3452029441583103, 0.39529986027628183, 0.39213191616415444, 0.4233930948539637, 0.4604221819899976, 0.4036400888497675, 0.3986985278648457, 0.3632884682821376, 0.38654225572411505, 0.3351538398502661]","[0.023152840385133516, 0.04956328527410501, 0.028618075065671395, 0.08472127055569546, 0.03996073374022608, 0.023583230402442874, 0.059177883040029855, 0.0462834104420836, 0.015149032139918929, 0.0484700041702432, 0.03791670818124707, 0.0286358041642428, 0.039992597399446814, 0.02662487745668165, 0.05006236303523407, 0.054796163831666224, 0.057684712049998456, 0.04261198664274217, 0.028073983797562384, 0.021668615767595593]","[24, 20, 24, 20, 23, 22, 23, 20, 21, 21, 24, 21, 23, 21, 18, 22, 22, 24, 21, 24]"
38,"[0.596509041281284, 0.5175295809998975, 0.5800059795728885, 0.4377715621293256, 0.5924384385829659, 0.43755764070998077, 0.4875294569896401, 0.46501280028938446, 0.6050510792826701, 0.5105497614214463, 0.6022138951479324, 0.5728877934244727, 0.4972212931357457, 0.43686987701637137, 0.5695087971398607, 0.49705347885277923, 0.4583585143056033, 0.4596861997020564, 0.47524190571857616, 0.6132055610152227]","[0.0601559712761379, 0.05043346371962015, 0.08149526906737549, 0.05133170802504559, 0.05253917070318042, 0.029088579985975433, 0.05684739835517549, 0.02389922021324405, 0.07471617753662195, 0.037594977500979086, 0.20051348046062203, 0.054573204226074666, 0.07136234032434244, 0.033561921250916234, 0.07134557988219188, 0.027678783155043737, 0.02615620763294687, 0.028259213146913445, 0.0414308703847489, 0.10685972819867728]","[21, 21, 23, 27, 21, 26, 25, 25, 22, 22, 24, 22, 24, 27, 22, 23, 24, 25, 23, 20]"
42,"[0.6863470298537452, 0.6725867474035893, 0.683605897290233, 0.6355905627133325, 0.7598577998578548, 0.6023431224083262, 0.7979793582843351, 0.5880252617145223, 0.6101049764214882, 0.6360310302781207, 0.6211153958574869, 0.642926684289705, 0.6926967774384788, 0.6133819069946185, 0.5592940237256698, 0.6328937964281067, 0.689588269975502, 0.5730283872773205, 0.6111678604252769, 0.6637089254301307]","[0.04128840758550921, 0.053527334162205675, 0.06594664018027308, 0.04048675719048152, 0.10077885429487202, 0.024431298696537762, 0.1094686428839414, 0.049878161628684435, 0.11615925849834288, 0.05083759400957622, 0.04197803598830167, 0.05366843091106444, 0.0800072143200577, 0.035809081788746415, 0.052550597409768175, 0.051317568438069915, 0.049392931964461775, 0.04322001937310149, 0.03275267713378641, 0.10747803844684439]","[24, 26, 27, 27, 25, 29, 23, 30, 27, 25, 29, 24, 24, 24, 29, 26, 24, 27, 26, 26]"
