Circuit Sizes,GidNET Average Runtime,GidNET Stdev Runtime,GidNET Average Width,GidNET Stdev Width,GidNET Min Width,GidNET Max Width,QNET Average Runtime,QNET Stdev Runtime,QNET Average Width,QNET Stdev Width,QNET Min Width,QNET Max Width
6,0.007830381421497026,0.0006837889673057771,6.0,0.0,6,6,0.012909781126712913,0.005683881112459063,6.0,0.0,6,6
10,0.024504741777248068,0.0016840301526872183,8.95,0.8046738469715541,7,10,0.029478794949297615,0.006707512233564477,8.95,0.8046738469715541,7,10
14,0.0459725407849224,0.0045223276245278474,11.1,1.4106735979665883,8,13,0.050662122213543624,0.00437297737097033,11.15,1.3518505834595773,8,13
18,0.06678859915715293,0.0061512362116985676,14.1,1.445683229480096,11,16,0.10161846665066801,0.007071294066966457,14.2,1.4,11,16
22,0.0970608697735588,0.00670221185591658,15.5,1.466287829861518,12,18,0.2913739593129555,0.01919242484646088,15.65,1.5256146302392357,12,18
26,0.13335207094654572,0.008767597400459399,17.3,2.002498439450078,13,21,0.6856630672289091,0.03643308772101731,17.55,2.108909670896314,13,21
30,0.179028683542565,0.012060576711436058,20.05,1.909842925478428,17,24,1.32945592881567,0.0719242297709349,20.3,1.9773719933285185,16,24
34,0.26766098211550604,0.030476559846973117,21.85,1.620956507744733,18,24,2.867301314535351,0.15081355134686927,22.35,1.49248115565993,18,24
38,0.3337029331074778,0.03602981277015334,23.5,2.0371548787463363,20,27,5.181067490192072,0.2318761637310372,23.75,2.5273503912200224,20,28
42,0.4110362278364067,0.04098885047315247,25.8,1.9646882704388502,23,30,8.964531257822197,0.3968518915180476,26.7,1.9519221295943134,23,31
46,0.5027660637796673,0.03579666408653558,27.95,2.3339880033967613,24,33,15.284912569455631,0.5412431535875328,28.9,1.9209372712298547,25,34
50,0.5738472177778021,0.045571981211372736,29.85,2.5548972582082436,26,36,22.454573160963733,0.38171009640413733,30.55,2.854382595238417,26,36
