Circuit Sizes,GidNET Average Runtime,GidNET Stdev Runtime,GidNET Width,QNET Average Runtime,QNET Stdev Runtime,QNET Width,Qiskit Average Runtime,Qiskit Stdev Runtime,Qiskit Width
16,0.0567250683849644,0.0039273780473974,10,0.138017771242968,0.0040746946356576,10,0.1068521400999348,0.006754182081352,10
20,0.0832622686858355,0.0033092690190522,12,0.3681312169995051,0.0150913179110376,12,0.15719843085717,0.0088417462113422,13
25,0.1359115257285468,0.0031595177188083,13,1.2412651112863389,0.052050646837556,14,0.2199258908285368,0.0067627423779512,16
30,0.1932960313433016,0.0054942203037622,16,3.096599329142399,0.0642408401956289,16,0.2958209732849874,0.0304769363882359,19
36,0.3229410428528873,0.0185099036485444,19,7.575176043999818,0.3261778905284532,19,0.4050442799993367,0.0191565393373942,26
42,0.4757152447127737,0.0184771675425093,20,17.803011736571143,0.7369019429762441,20,0.5700796357138772,0.02028978345457,28
49,0.7406887484290304,0.03410345633084,23,36.67722109085766,1.217542210789094,24,0.7427028401429457,0.0377796058545847,39
56,1.153187519567187,0.0578841025257344,25,78.30247501785821,7.085443352871857,24,0.8897312414285677,0.0371682430745809,42
64,2.029816322997379,0.0714463886921559,30,126.7262390490006,2.0023728575680777,30,1.1264619211428255,0.0576608017329396,48
72,2.985640604281798,0.1220229765477696,29,238.27059510799987,3.017979059147655,29,1.3310606648566523,0.0510002400035917,51
81,4.118700031856341,0.1398835935205052,32,425.8596977572852,10.414185571599443,30,1.647278827572466,0.0346291248046138,61
90,5.716795213279381,0.2849094419279599,32,718.8150598275715,10.31149903017681,32,1.9647939405715855,0.0666530413984339,66
100,8.016166515290804,0.3497133810467192,35,1176.53453620043,23.66324536580412,34,2.3999347592855758,0.1589364157710309,75
110,10.865546313709014,0.3366138959781293,36,1947.5233839195728,31.12150347330537,36,2.769940192856406,0.0485328883945223,79
121,15.6811853447164,0.6109683963156245,38,2890.956605064142,53.10802809836886,39,3.2673821080009344,0.1014192157548957,90
132,24.218479040141183,0.6411350631243665,42,4335.270483146286,75.64993385243766,38,3.822136289428662,0.1019473348247479,99
144,34.452018402566736,2.024632530182544,44,6458.748069817711,110.36030392541224,41,4.217988483714829,0.1104612380483666,104
