Circuit Sizes,QNET Average Runtime,QNET Stdev Runtime,QNET Width
16,0.232041812318909,0.0206455904825504,8
20,0.644203399424441,0.0325105863544941,9
25,1.91357036668342,0.0340463960678529,9
30,4.44256883588553,0.116288914112935,12
36,10.3442208005747,0.343987727014561,11
42,24.0051559528469,1.05698536391164,13
49,43.0607131048205,1.04746407652384,14
56,74.5704165705746,3.27211991080373,19
64,146.020070336726,1.9855278441897,19
72,270.305784115285,4.20290409550918,20
81,477.491955507996,8.84035227482315,20
90,753.273386341453,10.3737820638047,23
100,1268.25871725555,10.9157193180146,25
110,2045.40384203688,68.6444238704926,23
121,3250.86347069501,121.333828845993,24
132,4726.53186483856,192.844638170767,28
144,7662.45137651584,211.900421869858,29
