Circuit Sizes,Qiskit Average Runtime,Qiskit Stdev Runtime,Qiskit Width
16,0.034403010942956565,0.0006991236238200722,11
20,0.047088098414990655,0.0015148707549638204,14
25,0.063693421771833,0.0025168256459105476,16
30,0.0782111533576556,0.0016868991979136641,21
36,0.1026923369711897,0.006833995365319188,22
42,0.12305578349956445,0.004164843568634524,27
49,0.15534760615680301,0.008212553739519157,33
56,0.18210764897147394,0.0033013677101768855,40
64,0.2185325384322953,0.007662461225131508,45
72,0.26649629671425956,0.01578005452434357,51
81,0.3251106695679482,0.02151214121415659,56
90,0.36087437300011516,0.010895942144251412,57
100,0.4167308139980638,0.010996712492758038,66
110,0.48474318614379236,0.018474438819092397,76
121,0.5599645431419569,0.011796420529249282,83
132,0.6490974788653797,0.020548077108822286,93
144,0.7559322454243167,0.024948565702464825,102
