Circuit Sizes,GidNET Average Runtime,GidNET Stdev Runtime,GidNET Width
16,0.06203983947094197,0.0032540741616722156,9
20,0.09691690734304888,0.004612926972259203,10
25,0.13208143345712284,0.021850281753925792,11
30,0.21530531185895338,0.031526070760666124,11
36,0.44799287457135506,0.014005683201007792,14
42,0.6306272337096743,0.09222490433925955,16
49,0.9779164215682873,0.1052190443001014,17
56,1.4217622252929556,0.16347136338216595,18
64,2.51033124314355,0.1266451011000477,19
72,3.5047276364306787,0.41881533681591626,20
81,5.081305449566571,0.8414694634569868,22
90,7.430785309569079,0.19840838619541826,24
100,11.068316620994924,0.34635834526402204,26
110,14.129736129572848,1.3167853454109308,28
121,22.724130607135262,0.9724934331249067,29
132,35.06357590970999,1.0817507695800392,31
144,49.2626614927098,1.050734833842647,30
