Circuit Sizes,GidNET Average Runtime,GidNET Stdev Runtime,GidNET Width,QNET Average Runtime,QNET Stdev Runtime,QNET Width,Qiskit Average Runtime,Qiskit Stdev Runtime,Qiskit Width
16,0.0620398394709419,0.0032540741616722,9,0.1931906968529801,0.0095888449368617,9,0.0515645595001322,0.0052821587517826,12
20,0.0969169073430488,0.0046129269722592,10,0.5774891372919748,0.0129730078338921,10,0.0585306608712666,0.002304357915533,14
25,0.1320814334571228,0.0218502817539257,11,1.6884245705691032,0.041704198249021,12,0.0830530717856683,0.0045373861831408,15
30,0.2153053118589533,0.0315260707606661,11,3.995501202140336,0.1473507228737595,12,0.1094068016856908,0.0051173783290626,20
36,0.447992874571355,0.0140056832010077,14,10.05049888342702,0.3564868853665098,14,0.1372356384714034,0.0027146828733051,22
42,0.6306272337096743,0.0922249043392595,16,23.29513827271876,0.952378679745111,15,0.1856238128571671,0.0119771868780872,27
49,0.9779164215682872,0.1052190443001014,17,48.57278510757688,4.12622235368142,17,0.2176963085657917,0.0252200038452682,34
56,1.4217622252929556,0.1634713633821659,18,91.63285464999664,7.775656260498006,19,0.2459822964322354,0.0067381731514109,39
64,2.51033124314355,0.1266451011000477,19,164.99705145371263,6.012475496390179,19,0.2945480449956709,0.005462805311978,46
72,3.5047276364306787,0.4188153368159162,20,261.23470815185493,4.180733587127568,24,0.3502932690025773,0.0114586446334923,48
81,5.081305449566571,0.8414694634569868,22,472.84956755200153,10.093604601218097,22,0.4138084491465373,0.0034599831289481,55
90,7.430785309569079,0.1984083861954182,24,746.4787026157137,15.549835519994687,26,0.4973074392847983,0.0068005657276105,65
100,11.068316620994924,0.346358345264022,26,1276.4227799155674,39.24799874867804,27,0.5834934195778,0.0163292928935855,68
110,14.129736129572848,1.3167853454109308,28,1919.615964148281,13.999648439609352,27,0.6622013815753495,0.0105070383264697,76
121,22.724130607135265,0.9724934331249068,29,3224.3747777707054,97.59331650576075,27,0.8333946207130793,0.0409114684950402,87
132,35.06357590970999,1.0817507695800392,31,4953.5780449090025,81.4210351528983,29,0.9296015942818484,0.0246026015184198,95
144,49.2626614927098,1.050734833842647,30,7568.335295745421,190.9277506786196,32,1.1055937725676424,0.055477880157903,104
