Circuit Size,Iterations,Width Distribution
16,16,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]"
16,8,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]"
16,4,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 8, 10, 8, 8, 8, 8, 9, 8, 8, 8, 9, 8, 9, 8, 8]"
16,2,"[8, 8, 8, 8, 10, 8, 10, 8, 10, 9, 8, 8, 8, 9, 9, 9, 8, 10, 10, 8, 9, 8, 9, 9, 10, 10, 8, 8, 8, 8]"
16,2,"[8, 9, 8, 9, 8, 9, 8, 9, 9, 8, 8, 8, 10, 9, 8, 9, 8, 8, 9, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 10]"
16,1,"[10, 8, 10, 8, 10, 10, 10, 8, 11, 8, 11, 10, 11, 10, 8, 8, 10, 9, 8, 9, 8, 9, 8, 10, 8, 10, 8, 8, 9, 9]"
20,20,"[9, 10, 9, 10, 9, 9, 9, 9, 9, 10, 9, 9, 9, 9, 10, 9, 9, 9, 9, 9, 10, 9, 10, 9, 9, 9, 9, 10, 9, 10]"
20,10,"[10, 11, 10, 9, 9, 10, 9, 10, 10, 10, 9, 10, 10, 10, 10, 9, 9, 9, 10, 9, 10, 9, 9, 10, 10, 10, 10, 9, 9, 10]"
20,5,"[9, 10, 10, 10, 10, 11, 9, 10, 9, 10, 10, 10, 10, 10, 9, 10, 11, 10, 10, 10, 10, 10, 11, 10, 10, 10, 9, 11, 10, 9]"
20,2,"[10, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11, 10, 11, 10, 10, 11, 10, 10, 10, 9, 11, 10, 10, 10, 10, 12, 11]"
20,2,"[10, 9, 10, 10, 10, 11, 11, 10, 10, 12, 10, 10, 11, 12, 12, 9, 11, 9, 10, 9, 11, 10, 11, 11, 10, 10, 10, 10, 10, 10]"
20,1,"[10, 11, 12, 12, 10, 12, 12, 11, 11, 12, 11, 10, 13, 12, 10, 11, 10, 10, 12, 10, 10, 11, 12, 12, 11, 10, 10, 10, 12, 12]"
25,25,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
25,12,"[10, 10, 10, 11, 11, 10, 10, 11, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 11, 10, 10, 10]"
25,6,"[10, 10, 10, 12, 10, 11, 10, 11, 10, 11, 11, 11, 10, 10, 12, 10, 11, 10, 10, 10, 10, 11, 11, 10, 11, 11, 11, 11, 10, 11]"
25,3,"[13, 10, 12, 10, 11, 10, 10, 11, 11, 10, 11, 12, 10, 11, 13, 11, 11, 11, 10, 11, 11, 10, 11, 10, 11, 10, 12, 10, 10, 10]"
25,2,"[13, 13, 11, 10, 11, 10, 11, 10, 14, 11, 11, 10, 13, 13, 10, 12, 12, 11, 11, 11, 11, 10, 11, 10, 13, 10, 10, 10, 11, 11]"
25,1,"[14, 14, 13, 10, 10, 12, 12, 12, 11, 12, 11, 11, 13, 14, 13, 13, 11, 10, 13, 13, 11, 12, 13, 13, 10, 12, 12, 10, 11, 13]"
30,30,"[12, 11, 12, 11, 11, 12, 12, 11, 12, 11, 12, 12, 12, 12, 12, 11, 12, 12, 11, 12, 11, 11, 11, 12, 11, 12, 11, 12, 11, 12]"
30,15,"[12, 11, 12, 11, 12, 11, 12, 11, 12, 12, 12, 12, 11, 12, 11, 12, 12, 12, 12, 12, 12, 11, 13, 12, 11, 11, 12, 12, 12, 12]"
30,7,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 11, 12, 12, 12, 12, 12, 11, 12, 12, 11, 12, 12, 12, 12, 11, 12, 12, 11, 13, 12]"
30,3,"[14, 12, 13, 12, 12, 12, 12, 12, 12, 12, 13, 12, 13, 12, 12, 13, 12, 11, 12, 14, 13, 12, 13, 13, 12, 12, 13, 13, 12, 13]"
30,2,"[12, 13, 12, 15, 14, 12, 13, 12, 15, 13, 13, 11, 13, 13, 12, 14, 12, 12, 12, 12, 12, 14, 13, 13, 15, 13, 13, 12, 13, 13]"
30,2,"[12, 12, 13, 14, 13, 13, 15, 11, 12, 11, 12, 13, 14, 12, 13, 13, 14, 13, 13, 15, 12, 15, 12, 13, 12, 12, 13, 13, 13, 12]"
36,36,"[13, 12, 12, 12, 13, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12]"
36,18,"[12, 12, 12, 12, 12, 12, 12, 13, 12, 12, 13, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12]"
36,9,"[12, 15, 12, 13, 13, 12, 12, 13, 13, 12, 12, 13, 13, 12, 12, 13, 12, 12, 12, 13, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12]"
