Circuit Sizes,GidNET Average Runtime,GidNET Stdev Runtime,GidNET Width
6,"[0.02329675754382541, 0.017154926185529412, 0.020684904651550044, 0.022490382213644418, 0.021305324101371557, 0.02438884130096994, 0.024350752812876766, 0.01820743727065357, 0.0268954382843471, 0.02481848182921697, 0.021669624788420543, 0.02610592263576109, 0.02422140856838918, 0.019567510173822356, 0.021392959157570397, 0.02415094977993119, 0.022153134171302165, 0.02620441021447602, 0.022906587584709214, 0.0250673360856516]","[0.003849221718883939, 0.0012221779734797125, 0.0017038466255112094, 0.002973434147549352, 0.002011293867840874, 0.008448410475948015, 0.003600535405843967, 0.0019087562069685495, 0.005094544905690459, 0.0031806576069934975, 0.003115092844880835, 0.0034825019749272087, 0.0026457289138623404, 0.0026914084023213145, 0.0039136623961374345, 0.0015482984356736194, 0.001348284941161512, 0.0038763126187685683, 0.003655526292041181, 0.004579399614809788]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 4, 4, 4, 4, 4, 4]"
10,"[0.055596973114214576, 0.04558575018558518, 0.05901285318624494, 0.05229060437081249, 0.046949506829592536, 0.049182662328738455, 0.05674698534338469, 0.05794889664393849, 0.05876115690002085, 0.058891337543692704, 0.055509594330630664, 0.0522979185010107, 0.05282338608688276, 0.04428472715745946, 0.04620374202744902, 0.05439467602825192, 0.05267994961468503, 0.04760264138624604, 0.050405776612127993, 0.05080067604264644]","[0.007371990979103683, 0.006345742530252679, 0.011398143074797522, 0.004389778824942933, 0.004630839681854803, 0.002771166267564694, 0.006933894818322577, 0.0035399680573476784, 0.01129344672040226, 0.009112017403462423, 0.0052205532198690355, 0.012811879373245733, 0.003159020169214481, 0.0035521015890471836, 0.004648482532342532, 0.006053798553372573, 0.004865607972637687, 0.006582674030887785, 0.007762208005064896, 0.006190651122002119]","[6, 5, 5, 5, 6, 6, 4, 4, 5, 6, 4, 5, 5, 6, 6, 5, 5, 5, 6, 6]"
14,"[0.08446293115848676, 0.07816595251372616, 0.09604173924391424, 0.08405157157436147, 0.10789963657235993, 0.08684892831702849, 0.08607954492825749, 0.08040279731337381, 0.0850081158577398, 0.08775634205667303, 0.096145530843309, 0.08890589834274058, 0.08627062054251187, 0.07726244492805563, 0.08661274210150752, 0.08790827205687361, 0.08184409794297867, 0.07886727954111328, 0.0865490714562059, 0.08502588761371695]","[0.006768488199811916, 0.0065257818740952584, 0.005995483104517033, 0.006461913032332527, 0.013463572494375044, 0.009587589870390139, 0.0053440100022878545, 0.00850962165456799, 0.006930708547874737, 0.006804110122994952, 0.00909628022171169, 0.009077198607190865, 0.00307285790833833, 0.009622645218509506, 0.004456146789296936, 0.006563238374188071, 0.007351639272291527, 0.007308791918966525, 0.009143386297961683, 0.004435202312642084]","[7, 7, 5, 5, 5, 7, 7, 7, 7, 6, 6, 6, 6, 7, 6, 5, 5, 7, 7, 7]"
18,"[0.16317791539976106, 0.19761855254265745, 0.15738722278620118, 0.16766938939856899, 0.1706067700013851, 0.16611453544298585, 0.15420408087167226, 0.1591474776838108, 0.1497378934016784, 0.16879138552883108, 0.13860862341243774, 0.15968927371847844, 0.16423721398459748, 0.16425472300034016, 0.17652095027733594, 0.16372345841955394, 0.1541966873578661, 0.16437518172731092, 0.15597178640143414, 0.16201331037113312]","[0.014316451327409217, 0.1357644400596087, 0.01104553050240316, 0.010821835242291359, 0.007030270255555645, 0.0066828309284637025, 0.007330377619994148, 0.009435469220366307, 0.011292175247647768, 0.03191044922975039, 0.02917616323398256, 0.033876390291732845, 0.01881251579388916, 0.025283890451520213, 0.044132657518162845, 0.04084608283896739, 0.011991468974551375, 0.01104657512059031, 0.00873111474186126, 0.0068652858876182025]","[8, 10, 8, 7, 7, 7, 7, 6, 8, 8, 7, 6, 7, 7, 8, 9, 9, 8, 8, 7]"
22,"[0.2395410329918377, 0.23567129486140662, 0.23946977227959515, 0.24675232670935138, 0.21569761985613564, 0.22654416057879903, 0.26484302670827936, 0.21022249157041578, 0.2219961845715131, 0.25485640415822025, 0.2277768618576894, 0.25831579557520207, 0.26098163929002893, 0.256465167580505, 0.26003253098544, 0.24750865242510503, 0.34143579829417703, 0.2340562705649063, 0.24621952342567965, 0.2374407691448661]","[0.03352392264820836, 0.04733918797375638, 0.015491558762913046, 0.039974022105111175, 0.02395012659463717, 0.016059505580070434, 0.03091875261367223, 0.023927186535595713, 0.022252742439613598, 0.0204989709478784, 0.017749120015681536, 0.019035370072474453, 0.03377670771018536, 0.0359447977752397, 0.028563074046711923, 0.03677967021704526, 0.06368125977750207, 0.02506594369832134, 0.049542119936292296, 0.03692387426583412]","[9, 8, 8, 9, 8, 9, 7, 9, 9, 9, 8, 9, 8, 9, 8, 8, 8, 10, 10, 9]"
26,"[0.48513194655866493, 0.4473304258592959, 0.4354301898607186, 0.3577978727241446, 0.38188955657616525, 0.428151370283948, 0.3626881585722523, 0.3608093279846279, 0.3741462948465986, 0.447131384297141, 0.4335727141504841, 0.40984161514123635, 0.3916799878518629, 0.359735450291607, 0.3787980191409588, 0.4186688815825619, 0.3734058324147814, 0.34858839684498627, 0.35983065541534287, 0.3579531598619984]","[0.09163877053240732, 0.05577320695272158, 0.05203621467228232, 0.027918772676396832, 0.03435369099756228, 0.06329256902434914, 0.047302385105672924, 0.036824413581923676, 0.04545671256446609, 0.10124763960445561, 0.07304990828395858, 0.0639454959374154, 0.05122904180117123, 0.014652507163773962, 0.01398906058160557, 0.05961990408262177, 0.038165312431388605, 0.034578059074152, 0.04112993948101301, 0.045226896125351954]","[9, 11, 10, 9, 11, 8, 10, 9, 11, 8, 8, 9, 10, 9, 9, 10, 9, 9, 9, 8]"
30,"[0.5613520314218476, 0.4891547974381995, 0.5236240121552588, 0.588472460421534, 0.5957557178667879, 0.5041791388482254, 0.5712089631373861, 0.5950614330109342, 0.5634394848769132, 0.5332824182862949, 0.48541070914195317, 0.4771719321558651, 0.5677803861326538, 0.6347366177111066, 0.4988555141525077, 0.5471768574290243, 0.6052855618514253, 0.5375296918459104, 0.5015439835925852, 0.507521952577268]","[0.051938705403562005, 0.02150329110127218, 0.058589341352831115, 0.04700902792248429, 0.04699703002823139, 0.07231769577636203, 0.05036517035383003, 0.0984881722303616, 0.06834194620882701, 0.0424994090387161, 0.029436298091821935, 0.024063864108441347, 0.10754739726292296, 0.12348769067918725, 0.04255554519621284, 0.07648797739396823, 0.16972114245606051, 0.03677715124698726, 0.03820721576534782, 0.04808351335181336]","[11, 11, 11, 9, 9, 12, 10, 10, 9, 11, 12, 12, 10, 10, 12, 11, 10, 11, 11, 12]"
34,"[0.9514243671354572, 0.8857245430117473, 0.9879819457086602, 0.8921442905640495, 0.9563777028649513, 0.9945196657125572, 0.9141240392844858, 0.9647676365732748, 0.9876832941580298, 0.9446029342860649, 0.8889582051612835, 0.8945102475616815, 0.9289032352805536, 0.9447315612924285, 0.9173614464234561, 0.8436291234434715, 0.8469572060026361, 0.7468880885696437, 0.8381040921501283, 0.7650459955745775]","[0.09845378835280365, 0.0608366379408259, 0.10088785000966509, 0.08304577065112674, 0.047470846607420854, 0.08531678633425366, 0.05670708623526947, 0.10827971910556106, 0.1058720459288631, 0.08243494144179833, 0.041893482891888996, 0.05542046938423173, 0.035872849825875804, 0.09517147021195911, 0.06526787112250303, 0.06766942660003149, 0.08494794389905232, 0.0596440947540797, 0.10113203628910034, 0.07040750080728021]","[11, 11, 12, 11, 12, 12, 12, 10, 10, 11, 12, 12, 12, 11, 9, 11, 11, 11, 10, 12]"
38,"[1.0815454690351285, 1.0612779227085412, 1.1903734395829295, 1.0383050179973776, 1.1199673104399284, 1.1191817177126981, 1.0680049961416185, 1.0090700015758298, 1.0612894158527655, 1.0315008414244013, 1.0936726374285561, 1.1948523020089072, 1.074123328859319, 0.9757825925730036, 1.033361749864915, 1.0670926259897118, 0.9768338572799361, 1.0086796389992483, 1.0110496581515431, 1.0974162968424415]","[0.11773147584750729, 0.09553629289896637, 0.22448147834226623, 0.07806523073568027, 0.06692585681310703, 0.06485904439641563, 0.08607869574759312, 0.07022978134217532, 0.07069723024234566, 0.07528934844708347, 0.05908110126644627, 0.06412230982672149, 0.08637616103301902, 0.06416537622973477, 0.06637177253364153, 0.05584577334914392, 0.07094640493453949, 0.10873421795104478, 0.04898384277479382, 0.05752625376535828]","[11, 11, 12, 12, 12, 12, 11, 12, 11, 12, 13, 11, 13, 13, 12, 13, 11, 12, 12, 10]"
42,"[1.4969986619959985, 1.4456377688495974, 1.276259285713812, 1.5432603872697135, 1.4352807959907554, 1.4278837714394155, 1.5080674275606205, 1.3935084234108217, 1.4166828769957647, 1.4316822652887953, 1.4486029185687326, 1.3736728801325495, 1.3735563824219363, 1.5270082131443945, 1.4748154621421625, 1.44857464542812, 1.4726937001354858, 1.3059450498715575, 1.260979950735678, 1.2665516042865679]","[0.04734828746640529, 0.11669721285438509, 0.08783236445727667, 0.07501443762706167, 0.0691304508859544, 0.08056162842521011, 0.07247016166183019, 0.08026793716167648, 0.11115170966430567, 0.04358338073143994, 0.17577260287834837, 0.07810140942268033, 0.1144988491160542, 0.1590518061273785, 0.14538931889872123, 0.11187940382016592, 0.10371775326444785, 0.1930863105762114, 0.1664279156664502, 0.1966684789407636]","[12, 11, 13, 14, 13, 13, 12, 13, 14, 15, 13, 13, 13, 13, 14, 13, 13, 14, 12, 13]"
