Circuit Size,GidNET Mean Runtime,GidNET Stdev Runtime,GidNET Min Width,QNET Mean Runtime,QNET Stdev Runtime,QNET Min Width,Qiskit Mean Runtime,Qiskit Stdev Runtime,Qiskit Min Width
6,"[0.011927580833435059, 0.01230309009552002, 0.018053746223449706, 0.024321269989013673, 0.011632418632507325, 0.011843299865722657, 0.011061263084411622, 0.01227719783782959, 0.01112518310546875, 0.04479308128356933, 0.014397525787353515, 0.015504741668701172, 0.011415433883666993, 0.015901803970336914, 0.01253349781036377, 0.016546249389648438, 0.011249756813049317, 0.015877604484558105, 0.010806536674499512, 0.011341094970703125]","[0.0016502120637263327, 0.0030733253483966622, 0.01613179758270218, 0.013004311276567065, 0.0008197596694090163, 0.0010726796443769487, 0.0005099317509995402, 0.0022089616891668505, 0.0007231233476059324, 0.03275345682228181, 0.0021754321073212154, 0.005063120515680801, 0.0007564127133119082, 0.005739324676713147, 0.0031778870918341123, 0.008209751423786635, 0.0006498728894575495, 0.013975099691122516, 0.0002746627241414892, 0.0005593756663571331]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 4, 4, 4, 4, 4, 4]","[0.00401463508605957, 0.003869771957397461, 0.003322291374206543, 0.011330151557922363, 0.004166197776794433, 0.003122878074645996, 0.003963971138000488, 0.003972148895263672, 0.004071259498596191, 0.01489717960357666, 0.004431676864624023, 0.009769463539123535, 0.003945779800415039, 0.0027464866638183595, 0.0063934326171875, 0.0031156301498413085, 0.0037564516067504885, 0.005259943008422851, 0.004525375366210937, 0.004126858711242676]","[0.0004036108574507769, 0.00021474569343389555, 0.0004455961735144757, 0.014978288108252524, 0.0007331422561373306, 0.0005272827806553392, 0.0005113615940976572, 0.002717163842559436, 0.0006069557754321467, 0.014103630997511569, 0.0008299085453377578, 0.019162475616521738, 0.0029638429445372283, 0.0005696754011703626, 0.006399010749561627, 0.00017737385540714855, 0.00030302847678772275, 0.0013855202614070977, 0.003332675154006571, 0.000532707654472542]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 4, 4, 4, 4, 4, 4]","[0.050107812881469725, 0.05350227355957031, 0.2276683568954468, 0.07966625690460205, 0.06008877754211426, 0.1981983184814453, 0.13765385150909423, 0.30748691558837893, 0.05874390602111816, 0.11314458847045898, 0.07398183345794677, 0.2150192975997925, 0.1067039966583252, 0.07659797668457032, 0.06917874813079834, 0.1595522403717041, 0.051019716262817386, 0.14048640727996825, 0.16188602447509765, 0.11443355083465576]","[0.0049951010609271445, 0.002498863132134976, 0.037061651289758954, 0.04667919302464716, 0.0088778925862215, 0.04547377969541213, 0.028111557860007113, 0.029621519575418098, 0.009526952394210015, 0.03522441205996695, 0.01128162495067585, 0.04480064126722407, 0.03643603704175596, 0.0070789027744634974, 0.01341293857815159, 0.008732981988242485, 0.00651833779176989, 0.025075910922349235, 0.012455012761679245, 0.012349367049411634]","[4, 5, 4, 5, 5, 4, 4, 4, 5, 5, 4, 4, 5, 5, 4, 4, 5, 4, 4, 4]"
10,"[0.020195198059082032, 0.02058699131011963, 0.021579170227050783, 0.021594643592834473, 0.0199448823928833, 0.01955556869506836, 0.026800131797790526, 0.021780800819396973, 0.02168600559234619, 0.020549631118774413, 0.02549560070037842, 0.019969964027404787, 0.020499682426452635, 0.02004685401916504, 0.024435091018676757, 0.022202229499816893, 0.0202150821685791, 0.01957674026489258, 0.019904351234436034, 0.021899962425231935]","[0.0010137232244108276, 0.001915375824619418, 0.002600369204364576, 0.002034418415677591, 0.0005929737661180306, 0.00048486992468011966, 0.015926793736606566, 0.0020461795869623637, 0.002215285779935178, 0.0019582172688891635, 0.007660587975636501, 0.0006935658791466258, 0.0011506008027124728, 0.0018468192284416213, 0.015467349596529569, 0.002564990978855192, 0.0008437811622453674, 0.0008069644136418637, 0.0009551152933040624, 0.0034390520079680175]","[6, 5, 5, 5, 6, 6, 4, 4, 5, 6, 4, 5, 5, 6, 6, 5, 5, 5, 6, 6]","[0.03173987865447998, 0.031107401847839354, 0.023761463165283204, 0.04150710105895996, 0.02877492904663086, 0.024867320060729982, 0.0485844612121582, 0.033138275146484375, 0.029002618789672852, 0.029077696800231933, 0.037096691131591794, 0.030321073532104493, 0.032775068283081056, 0.02819066047668457, 0.02749485969543457, 0.029195404052734374, 0.02821199893951416, 0.030883264541625977, 0.02838621139526367, 0.027522683143615723]","[0.0010807922121739834, 0.0009636934793759821, 0.0008321324908996116, 0.016921687183182176, 0.002538114104409138, 0.0011662987309417042, 0.014514016552804782, 0.0018065535700420067, 0.0009196795602282519, 0.002407947902610077, 0.004177874014005841, 0.0030937538482407115, 0.0015656007682135439, 0.0012676438229376166, 0.0013139221106238722, 0.0012890890301085673, 0.001451705351365123, 0.0013391686552442978, 0.0011917117425024317, 0.008499045682320915]","[6, 5, 5, 5, 6, 6, 4, 4, 5, 6, 4, 5, 5, 6, 6, 5, 5, 5, 6, 6]","[0.12467985153198242, 0.18645954132080078, 2.0340464115142822, 0.8350180864334107, 0.8307210683822632, 0.529213833808899, 1.319634199142456, 2.7211688995361327, 2.041583013534546, 0.3451645612716675, 0.942092752456665, 0.5829397201538086, 0.8376518487930298, 0.2749932765960693, 0.20567262172698975, 0.6985281229019165, 0.8259029150009155, 0.3706547737121582, 0.3674769401550293, 0.22170634269714357]","[0.021250256047268164, 0.006588244942866635, 0.1473570384801866, 0.04154828462602527, 0.05643707386345406, 0.05264562627321793, 0.06490305559030696, 0.08566058861387267, 0.0612243350760796, 0.045117861590987296, 0.06916251204355749, 0.04302631569727747, 0.05661501928572193, 0.02138949216983934, 0.011372341008450488, 0.03212554048662549, 0.03930973073588077, 0.04364129677042746, 0.03992307241737706, 0.032278035867502455]","[7, 7, 5, 5, 6, 6, 4, 4, 5, 6, 5, 6, 5, 7, 7, 5, 6, 6, 6, 7]"
14,"[0.03199753761291504, 0.03685691356658936, 0.04526386260986328, 0.04122138023376465, 0.03654477596282959, 0.03732788562774658, 0.039981961250305176, 0.0347179651260376, 0.033678221702575686, 0.03704831600189209, 0.03190348148345947, 0.03126146793365479, 0.03861424922943115, 0.031469535827636716, 0.03611040115356445, 0.03361036777496338, 0.053237628936767575, 0.04550423622131348, 0.03298418521881104, 0.037244772911071776]","[0.0006710961695967318, 0.004470828551187513, 0.024476115546317834, 0.013721831539044963, 0.006944854734714769, 0.014307611402656104, 0.013587037524847868, 0.0031174812624051775, 0.005152088561361088, 0.014295410190196783, 0.0013519785164365801, 0.0011767231054312483, 0.014598166469038106, 0.0015264714506124757, 0.00696718327737328, 0.0010991154598674162, 0.013571691606294891, 0.02518758100450393, 0.0015233773574710448, 0.008093479171678141]","[7, 7, 5, 5, 5, 7, 7, 7, 7, 6, 6, 6, 6, 7, 6, 5, 5, 6, 7, 7]","[0.14488546848297118, 0.1470871925354004, 0.1500324010848999, 0.16825494766235352, 0.18523478507995605, 0.134745454788208, 0.13159611225128173, 0.153298282623291, 0.15308480262756347, 0.1816648244857788, 0.1457913875579834, 0.133451509475708, 0.14544346332550048, 0.14752135276794434, 0.17743947505950927, 0.1740858554840088, 0.18466172218322754, 0.17856779098510742, 0.15326411724090577, 0.1432629108428955]","[0.025956258377612357, 0.015296176117704991, 0.009125082075128316, 0.013131974961903721, 0.034638932689948054, 0.013670285720489362, 0.025328950834725972, 0.02259515718796629, 0.016458692706321672, 0.015404539089286665, 0.014794738843777818, 0.010562738603248379, 0.018878222556211185, 0.017660837832688132, 0.02417086578267772, 0.026855266757650452, 0.031425753466882936, 0.05459742282371857, 0.016410654925411314, 0.018667543400822724]","[7, 7, 6, 5, 5, 6, 7, 7, 7, 6, 6, 7, 6, 7, 6, 5, 5, 6, 7, 7]","[1.6579097270965577, 0.2921522378921509, 42.59932832717895, 4.719871783256531, 1.4678251981735229, 5.049430775642395, 1.8258872509002686, 0.32353782653808594, 0.2060084581375122, 2.930185651779175, 2.629007077217102, 0.632083249092102, 1.0708657264709474, 0.9651445865631103, 0.5742330551147461, 5.65567717552185, 0.6618581533432006, 1.2044413089752197, 0.4408393621444702, 1.254939365386963]","[0.08339049736113317, 0.03339504173749079, 1.3971918936881458, 0.12408916944682997, 0.07752706127047426, 0.31296818928787207, 0.04917055409434047, 0.026401985437630962, 0.022667117824718367, 0.06711296233236223, 0.11884613038837215, 0.07895523689210307, 0.06745882031883385, 0.0776347896960215, 0.036874965305226, 0.19371685222384386, 0.05524700740411355, 0.09049943010679104, 0.034237733672601266, 0.08882607834486021]","[7, 9, 6, 6, 6, 7, 7, 9, 9, 8, 7, 8, 8, 9, 8, 6, 9, 8, 7, 8]"
18,"[0.05754473209381104, 0.045431208610534665, 0.0625758171081543, 0.05572497844696045, 0.04826350212097168, 0.05674879550933838, 0.05481674671173096, 0.06128880977630615, 0.050298309326171874, 0.05547201633453369, 0.05479419231414795, 0.05265533924102783, 0.052500033378601076, 0.0776024341583252, 0.051047539710998534, 0.060943198204040525, 0.05288894176483154, 0.073651123046875, 0.0570220947265625, 0.054632925987243654]","[0.017328762372856136, 0.0020488066723340693, 0.016128616725232147, 0.009016329292627634, 0.003885995689727754, 0.006685565929144979, 0.010726371764758087, 0.010229121968769118, 0.018873818375218343, 0.010346321519744447, 0.012407867163185857, 0.0028857235659877846, 0.015200085955585384, 0.04034597864098071, 0.005214389444054376, 0.011064050944438174, 0.017119443356807488, 0.023721728771625285, 0.010748483048922394, 0.010285767880558907]","[8, 10, 8, 7, 7, 7, 7, 6, 8, 8, 7, 6, 7, 7, 8, 9, 9, 8, 8, 7]","[0.46752176284790037, 0.3925652503967285, 0.46784913539886475, 0.4908815622329712, 0.4768336057662964, 0.4568689584732056, 0.5633387804031372, 0.572982668876648, 0.5631946802139283, 0.46491107940673826, 0.4447148084640503, 0.5823114156723023, 0.482145094871521, 0.46287729740142824, 0.47417597770690917, 0.4308116912841797, 0.46967434883117676, 0.5351241588592529, 0.4377229928970337, 0.5355696439743042]","[0.03963998291093605, 0.05919168320110429, 0.028414753987373923, 0.051387668843859154, 0.04640518104111263, 0.040264017630073264, 0.049715672613000104, 0.08898477767335645, 0.153249931957068, 0.061804881188809786, 0.04866998037451274, 0.06363138983953578, 0.08169438830333534, 0.07633471214779569, 0.039015293495162695, 0.03901080566027486, 0.07045843843667429, 0.057122335868331806, 0.055292861820171894, 0.04926125034851753]","[8, 10, 8, 7, 8, 7, 7, 6, 8, 8, 7, 6, 7, 7, 8, 9, 9, 7, 8, 7]","[0.9149318218231202, 7.357865500450134, 7.15162353515625, 18.989761185646056, 1.1371494770050048, 13.898377943038941, 1.7472732305526733, 14.596381187438965, 2.269514727592468, 11.579240989685058, 2.646537709236145, 5.515852665901184, 2.0496575355529787, 4.02272138595581, 1.8394989490509033, 2.0737575769424437, 0.8302750587463379, 1.9625648975372314, 0.5368561506271362, 3.4151479721069338]","[0.048272050532080425, 0.1819381401359264, 0.2027367161626999, 0.7921784220896595, 0.0704404018339099, 1.2764476509294442, 0.32558993532441216, 1.3531281598980647, 0.11078108529819986, 0.5064316376941078, 0.14173256661228106, 0.11971774284010796, 0.15971336149599122, 0.3211583139118508, 0.07954782172908759, 0.11698557509290185, 0.13332507547715297, 0.2672268476273698, 0.043310984478069324, 0.12829343735357485]","[11, 11, 10, 7, 10, 9, 9, 8, 10, 9, 10, 8, 11, 9, 9, 10, 11, 10, 11, 9]"
22,"[0.0795125961303711, 0.08360297679901123, 0.07520616054534912, 0.08064486980438232, 0.08609037399291992, 0.08037457466125489, 0.09764084815979004, 0.11267471313476562, 0.09490385055541992, 0.08992118835449218, 0.07825269699096679, 0.08815667629241944, 0.07177190780639649, 0.07737252712249756, 0.08213515281677246, 0.0857656478881836, 0.07614600658416748, 0.06537823677062989, 0.0960430383682251, 0.0876075029373169]","[0.01684718102927888, 0.018907301609910776, 0.01035887444458834, 0.021718450814603756, 0.013949952616247019, 0.02313837513372718, 0.023226726019460162, 0.04696512294304829, 0.0380081665942298, 0.03513569899822688, 0.011614147517885283, 0.049629018649674346, 0.005287109175060143, 0.03034536063319832, 0.02342186962248995, 0.01582660916406784, 0.01695204824112488, 0.0032519186447104356, 0.022289002046609403, 0.017465551101390375]","[8, 8, 8, 9, 8, 9, 7, 9, 9, 8, 8, 9, 8, 9, 8, 8, 8, 9, 10, 9]","[1.259185266494751, 1.282866406440735, 1.2669376611709595, 1.17058527469635, 1.3999473333358765, 1.1438389539718627, 1.4681819677352905, 1.3304430007934571, 1.1451878786087035, 1.1964550256729125, 1.2223371267318726, 1.3258245706558227, 1.1628089427947998, 1.1510256052017211, 1.2253053903579711, 1.1970873832702638, 1.1079081296920776, 1.0490754127502442, 1.0545727729797363, 1.1102092504501342]","[0.16412847724970794, 0.07797231030019021, 0.10265792597333714, 0.0997566181902852, 0.12455003792277711, 0.05874262338725835, 0.09225559036078192, 0.2616549097158198, 0.0980198844568829, 0.05408866976625641, 0.1377078069884406, 0.12225981141962446, 0.0658216820563096, 0.0793112305866382, 0.08349362338781817, 0.06522537498751141, 0.07270976870994132, 0.057301220665088526, 0.06548177195634872, 0.09230669513192705]","[9, 8, 8, 9, 8, 9, 7, 9, 9, 8, 8, 8, 8, 10, 8, 8, 9, 10, 10, 9]","[3.116157126426697, 0.5380146741867066, 7.708984422683716, 22.740389752388, 1.6592716693878173, 4.783950734138489, 5.3740132570266725, 7.799314951896667, 1.0364514112472534, 3.505499982833862, 90.72968599796295, 3.2381496667861938, 73.55821859836578, 1.0220362186431884, 1.0035548686981202, 4.6025148153305055, 6.8565819501876835, 1.074922299385071, 3.1570833683013917, 0.8716136932373046]","[0.24053649494151413, 0.05297836482858022, 0.15790318526028996, 1.790744027500514, 0.18725930834366553, 0.6159818207647306, 0.6907693580467978, 1.213152326679088, 0.15690723720897082, 0.11666531514115788, 7.62686873557944, 0.10186398902643866, 1.0837852548625022, 0.04712081213976828, 0.09018606572039833, 0.17427587065092406, 0.23915053543638662, 0.04748682007549809, 0.06925007164081763, 0.06926815284807308]","[13, 12, 9, 10, 12, 12, 10, 12, 13, 11, 10, 11, 8, 14, 14, 12, 11, 13, 11, 12]"
26,"[0.11948988437652588, 0.11433913707733154, 0.10151917934417724, 0.10350770950317383, 0.10771763324737549, 0.11908884048461914, 0.10696098804473878, 0.10201029777526856, 0.11029336452484131, 0.09856564998626709, 0.11358301639556885, 0.09310152530670165, 0.09867053031921387, 0.11680316925048828, 0.10351359844207764, 0.09617063999176026, 0.09779069423675538, 0.12328426837921143, 0.1025860071182251, 0.11171121597290039]","[0.02479964843738792, 0.0206859588546792, 0.01804967488558481, 0.019177889271348374, 0.028410040201508144, 0.02554150298540941, 0.03226703407426192, 0.020733837445861696, 0.024478439637640615, 0.0046631358132751145, 0.012497953265106288, 0.0047447741740838075, 0.016393508131220775, 0.02393662906992634, 0.015970879991101535, 0.01599339896235089, 0.01962305414306174, 0.018309681793744075, 0.02459296304598057, 0.03183469481021378]","[8, 10, 10, 9, 11, 8, 9, 9, 11, 7, 8, 8, 10, 9, 9, 9, 9, 9, 9, 8]","[2.385650658607483, 2.3560687780380247, 2.427972173690796, 2.6051687717437746, 2.2714229106903074, 2.579332399368286, 2.3088774919509887, 2.315595269203186, 2.196465587615967, 2.740604281425476, 2.5778974294662476, 2.5705392837524412, 2.5094149827957155, 2.7666415929794312, 2.4731828689575197, 2.3765321731567384, 2.63855619430542, 3.029809355735779, 2.422369647026062, 2.4592196464538576]","[0.13792967117510094, 0.11077904691986667, 0.17902738680787547, 0.12357619239909236, 0.064063923511272, 0.07196309313270709, 0.05670703872354882, 0.09738371654790107, 0.053497639298005294, 0.08997382435378132, 0.05568509973581474, 0.06950424283696255, 0.23980977681768897, 0.16135448619780535, 0.09347250357100143, 0.06576135408703063, 0.2981814157037916, 0.17351386893052936, 0.08580631691069159, 0.2014590634845253]","[10, 11, 11, 9, 11, 8, 9, 9, 11, 9, 8, 9, 10, 9, 9, 9, 11, 9, 9, 8]","[24.5451548576355, 5.294589257240295, 12.817665696144104, 27.306720423698426, 3.9310149192810058, 24.722009587287904, 8.397804522514344, 6.289408445358276, 3.7099324464797974, 11.575635719299317, 14.967318463325501, 0.9645397901535034, 1.1301165103912354, 8.780178022384643, 16.56751775741577, 6.566726422309875, 0.6944538354873657, 1.0592475175857543, 22.506896996498106, 128.2578088760376]","[0.3471844420338996, 0.14839482122040884, 0.1396644801190062, 0.5747681227768583, 0.10374191315122057, 0.3404353399065589, 0.22185569440544078, 0.08394140500439486, 0.6829711391326249, 0.1832310899787382, 0.22646447284388582, 0.08570712075137611, 0.10025095329139766, 0.5724701302697014, 0.1906267063405138, 0.11946305132879409, 0.03915909111493068, 0.11584265411288021, 0.2802133565900732, 2.457755159676427]","[12, 14, 13, 11, 14, 10, 14, 12, 15, 14, 12, 13, 16, 12, 12, 14, 14, 15, 11, 12]"
30,"[0.16192126274108887, 0.13561322689056396, 0.12646114826202393, 0.12934117317199706, 0.13905694484710693, 0.13533942699432372, 0.13999347686767577, 0.12960267066955566, 0.13400981426239014, 0.13317203521728516, 0.12403738498687744, 0.12901785373687744, 0.13119144439697267, 0.13875763416290282, 0.13634135723114013, 0.13158249855041504, 0.13073935508728027, 0.1349397897720337, 0.1303478956222534, 0.13621466159820556]","[0.0426313490620206, 0.025161798131225592, 0.017945573389148976, 0.015092790678365053, 0.02824392037237782, 0.02380852809054534, 0.018063403808821, 0.015830889319096167, 0.014189188162446667, 0.019003444445288228, 0.01763052651164253, 0.013450779091486394, 0.021884137913660943, 0.018379450953443253, 0.03190014691319894, 0.017375758009242806, 0.016428209160853028, 0.019377877934640842, 0.024556053125075847, 0.02821751205381971]","[11, 10, 11, 9, 9, 12, 10, 10, 10, 10, 12, 12, 10, 9, 11, 11, 10, 10, 11, 12]","[4.157142901420594, 4.421861457824707, 4.622842860221863, 4.471756649017334, 5.026122903823852, 4.5585414409637455, 4.85839159488678, 4.409456968307495, 4.672389578819275, 4.447142624855042, 4.238115334510804, 4.122474122047424, 4.510849523544311, 4.630404996871948, 4.132943439483642, 4.577276301383972, 4.723509502410889, 4.382426238059997, 4.561398839950561, 4.291936564445495]","[0.06872812898066992, 0.07884170458095002, 0.14061983637086256, 0.13293790174376943, 0.10301841622695489, 0.10083341481102588, 0.09519256298928183, 0.09507894804994294, 0.13767527336603355, 0.11876535540293667, 0.10054072197878823, 0.07040232080438234, 0.1511458301430474, 0.16141744886875128, 0.055737505746606804, 0.08529644075393725, 0.08793184530159516, 0.10671797966067106, 0.10217428267522004, 0.16621637949997914]","[11, 10, 10, 9, 9, 11, 10, 10, 9, 10, 11, 12, 10, 9, 12, 11, 10, 10, 10, 12]","[15.553350019454957, 39.111400437355044, 24.63215618133545, 667.5412226438523, 3.0776825189590453, 6.809228706359863, 1.2209157466888427, 29.85825185775757, 14.930165791511536, 225.74911530017852, 8.39195966720581, 22.467030787467955, 33.75686507225036, 202.54162769317628, 372.4179511547089, 15.122618174552917, 1.3232747077941895, 59.73109967708588, 6.085346269607544, 6.083110427856445]","[0.19516380133412542, 0.3213042923358766, 0.2678527367958338, 7.185195764405451, 0.050736913713413274, 0.1495029065401897, 0.05558314117806515, 0.1971927112287308, 0.22397538195172179, 3.575703252769193, 0.17434506438751682, 0.3155272037642133, 0.3152341972565929, 3.848483529414402, 3.7980317218636226, 0.19188112517884778, 0.06284398127054222, 0.30033919699225264, 0.10389027622877449, 0.09160675893654086]","[16, 15, 14, 11, 16, 16, 17, 14, 13, 14, 15, 15, 14, 13, 14, 16, 17, 16, 16, 15]"
34,"[0.18059854507446288, 0.22018017768859863, 0.18628988265991211, 0.1827366590499878, 0.17106187343597412, 0.18404757976531982, 0.16946890354156494, 0.1859452724456787, 0.18539612293243407, 0.18676562309265138, 0.1847229242324829, 0.1748525619506836, 0.18362629413604736, 0.17776827812194823, 0.18182177543640138, 0.18755788803100587, 0.18495001792907714, 0.1756138563156128, 0.176566219329834, 0.17710912227630615]","[0.01943503655876201, 0.04272059307384848, 0.04419007945740101, 0.0226377490187407, 0.019106991871423895, 0.02165651878420581, 0.02165609611340011, 0.02787120241636748, 0.01984190164120661, 0.0246864255894076, 0.03817646523385727, 0.021976286135308873, 0.03679054868768559, 0.02842466116648576, 0.023796823876951007, 0.030823713235971727, 0.029569760857993142, 0.021149326591281208, 0.027188008387386775, 0.035100865611491325]","[11, 10, 12, 11, 12, 11, 12, 10, 10, 10, 12, 12, 12, 11, 9, 12, 11, 11, 10, 11]","[8.559564590454102, 9.248200798034668, 8.153330373764039, 7.999274396896363, 8.089563703536987, 8.08439016342163, 7.940596604347229, 8.52385573387146, 8.867625451087951, 8.68609802722931, 8.211880445480347, 8.230310106277466, 8.219254732131958, 8.20064663887024, 8.353326535224914, 8.000015425682069, 8.277132368087768, 8.379446125030517, 8.576916384696961, 8.130211138725281]","[0.2179291176554243, 0.5210996147237074, 0.20858674248725212, 0.10880604115612214, 0.15290124565710925, 0.10362728654733325, 0.15644052256408267, 0.1294969361196303, 0.16395394524224463, 0.17370130883657725, 0.13502752288871678, 0.1821948192278698, 0.11910509107493518, 0.2867093011328574, 0.28675094441498117, 0.426100269601055, 0.1662085792772139, 0.17432743143838536, 0.14522150937334638, 0.1970645381805181]","[11, 10, 12, 11, 13, 11, 12, 10, 10, 10, 12, 12, 13, 11, 9, 13, 11, 11, 10, 11]","[459.0278844356537, 103.43475134372711, 172.27946989536287, 71.37205741405486, 2.0797008752822874, 37.6502357006073, 122.6278668165207, 2.048444223403931, 6.067373561859131, 7.132474184036255, 1.7719780921936035, 23.657686710357666, 6.757919335365296, 21.362553358078003, 27.364327716827393, 7.5734845161437985, 3.307935857772827, 5.791346096992493, 28.552680706977846, 2.559080982208252]","[5.887227559380092, 0.5716745822793091, 1.7378673421833821, 2.9099040213225438, 0.09226185671944896, 0.2940662766602303, 8.867623028014384, 0.11826499954339469, 0.12597124549789016, 0.16940510264952607, 0.0733379922236345, 0.3443452827466001, 0.1735417464232336, 0.4756936479678432, 1.763954731353512, 0.20571000038942108, 0.11985875571365201, 0.1731491179360289, 0.30774369991494127, 0.06513347135719937]","[18, 15, 13, 17, 21, 14, 16, 19, 17, 17, 20, 15, 19, 14, 15, 20, 19, 18, 17, 19]"
38,"[0.24064271450042723, 0.25686330795288087, 0.23788466453552246, 0.22169764041900636, 0.22947568893432618, 0.2362163782119751, 0.22152094841003417, 0.22538647651672364, 0.23053910732269287, 0.2360788345336914, 0.22499115467071534, 0.2452425479888916, 0.2438269853591919, 0.23483006954193114, 0.22860147953033447, 0.22255754470825195, 0.22349631786346436, 0.2224052667617798, 0.22632813453674316, 0.26630859375]","[0.04873783378340684, 0.053793781209850934, 0.03601741909046466, 0.024369018076993227, 0.02685904477235295, 0.023711822209536937, 0.01901778967699638, 0.022485146973307946, 0.026795559379441645, 0.028286572120110837, 0.029771393338220112, 0.03774076499778893, 0.04531177317749509, 0.03332232340255363, 0.027507091406591116, 0.022582007324865053, 0.022428237973345398, 0.02085457915101362, 0.04124052924802469, 0.05861393907495802]","[10, 11, 12, 12, 11, 12, 12, 13, 11, 12, 12, 11, 12, 13, 11, 13, 11, 12, 12, 11]","[13.725105738639831, 14.620535159111023, 14.038416838645935, 13.587081837654114, 13.65553593635559, 14.041549849510194, 13.938999342918397, 14.192856287956237, 13.964457941055297, 14.451035952568054, 14.047807645797729, 16.472592520713807, 14.124955868721008, 13.521685266494751, 13.760154509544373, 13.578111577033997, 14.054143524169922, 14.477977538108826, 13.429394388198853, 14.991416525840759]","[0.13976015976639963, 0.18823521893608833, 0.21430035907193262, 0.27670945142532244, 0.2099500523502402, 0.25241778925424524, 0.22957918428100157, 0.14347131922390788, 0.2222727151734443, 0.20212611577761805, 0.32135175870979305, 1.253422944772821, 0.33961930556547676, 0.339076395507018, 0.17702545455805, 0.15808836064693219, 0.160427746489472, 0.23437569750268342, 0.19064925185807843, 0.16396517653573023]","[11, 11, 12, 14, 11, 12, 10, 11, 11, 12, 12, 10, 12, 13, 13, 12, 12, 12, 13, 10]","[115.80037877559661, 7.0271901845932, 4.65421998500824, 5.640894889831543, 75.86684753894806, 9.02287998199463, 52.05649697780609, 49.85205159187317, 83.27946095466613, 48.883114624023435, 6.15224142074585, 15.913089323043824, 3.0734323024749757, 34.554692602157594, 56.99354484081268, 56.23393476009369, 161.4691082239151, 2.733829307556152, 11.929693412780761, 5.926905632019043]","[1.068570004390607, 0.2825456070161602, 0.09745457611430709, 0.08981984570626128, 2.7490759378935152, 0.08610810395594061, 0.4937660863101187, 0.3831590261603351, 1.7430302993982216, 1.0318269736117793, 0.1150114905101006, 0.17027217171604223, 0.1333459291959875, 0.2990649812532819, 0.2971033799923123, 1.2636087814047685, 3.5990462856083023, 0.10213982717526374, 0.2525127745788357, 0.08433148473077448]","[16, 19, 19, 20, 17, 21, 16, 17, 17, 18, 20, 19, 23, 18, 17, 19, 17, 20, 18, 22]"
42,"[0.31107125282287595, 0.2888484477996826, 0.28300931453704836, 0.2735986948013306, 0.25446717739105223, 0.25095839500427247, 0.2699998617172241, 0.2527581214904785, 0.259371280670166, 0.2646310329437256, 0.25818822383880613, 0.2640755414962769, 0.2475212335586548, 0.25850067138671873, 0.2563778877258301, 0.27583839893341067, 0.28355791568756106, 0.25163047313690184, 0.2612769603729248, 0.25956995487213136]","[0.04575252966165149, 0.029148548523453728, 0.029423613111277305, 0.03140361422526159, 0.0154217528232004, 0.031603992437850364, 0.01797487505533231, 0.020162077260291306, 0.02486226652080862, 0.024660572772495046, 0.019960015053670902, 0.02876233612828564, 0.02335925503407707, 0.02263837695391034, 0.029158884073280027, 0.01881741427314353, 0.03246712557461172, 0.016978566541981065, 0.02856994167325483, 0.021452837109501983]","[11, 12, 13, 13, 13, 14, 12, 13, 14, 15, 13, 13, 12, 13, 15, 14, 13, 12, 12, 13]","[23.554512572288512, 22.79250910282135, 21.74890766143799, 20.399303913116455, 19.889276361465456, 19.161424469947814, 19.562467193603517, 19.642385363578796, 20.04845666885376, 19.129901456832886, 19.432177424430847, 19.32040967941284, 18.68889970779419, 19.879827880859374, 19.137532806396486, 19.20662145614624, 19.325772762298584, 19.064381504058836, 19.403715229034425, 20.061192560195924]","[0.21365008194823962, 0.32523319041670534, 0.22853015654878697, 1.1112561285483098, 0.22601595656357873, 0.15842468165996493, 0.17484789336577627, 0.40404419153078813, 1.403693718202935, 0.20372729492516917, 0.17316178269178734, 0.10207317025501185, 0.1827279178681837, 0.19088749794282048, 0.4830426961735299, 0.4061497577450475, 0.18063713085289376, 0.2822703136324071, 0.4267300323402232, 0.14730959261942925]","[11, 12, 12, 14, 12, 13, 11, 14, 13, 14, 13, 13, 13, 12, 15, 13, 14, 13, 12, 12]","[59.05815098285675, 9.859439992904663, 1393.0175002336503, 1.7801928043365478, 5.7517495393753055, 8.932788467407226, 122.58490300178528, 4.659022569656372, 6.365675020217895, 18.68260805606842, 38.09960823059082, 24.573808240890504, 25.578291296958923, 11.08307912349701, 14.349103474617005, 54.72561192512512, 56.485816621780394, 14.729560852050781, 27.69396092891693, 6.064351010322571]","[0.4005150034346819, 0.13626827682085677, 26.978668276273893, 0.030770936667586426, 0.10589847101728857, 0.08493852230383156, 3.4132951478958837, 0.11210906054361272, 0.09689411613179218, 0.13276684471860886, 0.5161370315833841, 0.09116513998209497, 0.16140884485435777, 0.34793139064723516, 0.41925155822514626, 0.740780632016808, 0.9411263234336527, 0.09801177670117979, 0.4359055729128387, 0.03479058184336409]","[20, 20, 17, 25, 23, 23, 18, 21, 21, 21, 20, 18, 21, 21, 22, 19, 18, 21, 18, 20]"
