Circuit Sizes,GidNET Average Runtime,GidNET Stdev Runtime,GidNET Width
16,0.05577548617147841,0.0067752319173434265,9
20,0.0825869494284104,0.008005442770345072,10
25,0.13466982769979433,0.010130525150505677,11
30,0.26296487029009896,0.04481691013324097,12
36,0.4057783899978468,0.011553359662403893,15
42,0.7425553578650579,0.051349498615600425,16
49,1.3824388308566995,0.14440301811996875,17
56,2.1876203827227334,0.18286427804938118,19
64,3.5292600171440944,0.2685450587961807,20
72,5.424805521145962,0.1489573988250934,21
81,9.09407896528137,0.23624448123559658,23
90,13.55761406185671,0.08514233667917676,26
100,24.041063045567302,2.3469437795468826,25
110,33.275450697006555,1.5405829556136679,28
121,53.41178822528621,5.276829384172409,29
132,70.33419227427969,3.405005023063999,30
144,100.90780032485574,0.9805149740980099,33
