Circuit Sizes,QNET Average Runtime,QNET Stdev Runtime,QNET Width
16,0.13801777124296807,0.0040746946356576275,10
20,0.3681312169995051,0.015091317911037688,12
25,1.2412651112863387,0.05205064683755609,14
30,3.096599329142399,0.06424084019562892,16
36,7.575176043999818,0.3261778905284532,19
42,17.803011736571143,0.7369019429762441,20
49,36.67722109085766,1.2175422107890939,24
56,78.30247501785821,7.085443352871857,24
64,126.7262390490006,2.0023728575680777,30
72,238.27059510799987,3.017979059147655,29
81,425.8596977572852,10.414185571599445,30
90,718.8150598275715,10.31149903017681,32
100,1176.53453620043,23.66324536580412,34
110,1947.5233839195728,31.121503473305374,36
121,2890.956605064142,53.10802809836886,39
132,4335.270483146286,75.64993385243766,38
144,6458.748069817711,110.36030392541223,41
